id;label;function;year;place_print
1931;Christiaan Steenberg & Johanna Westerhout;Bruidspaar;1729;
1932;Isaac S.W.B. Boonen;Auteur;;
1933;Arnold Boonen;Auteur;;
1934;Johan Swryters & Katharina Margareta van Kinschot;Bruidspaar;1729;
1935;Louis Trip de Maréz & Hillegonda van der Does;Bruidspaar;1729;
1936;Rudolf Henrik van Lankeren & Maria Pott;Bruidspaar;1729;
1937;Isaac Wz Wolffganck;Auteur;;
1938;Jan van Marselis & Johanna Clifford;Bruidspaar;1729;
1939;Johannes Wilhelmus van Diepen & Sara Alettha van Rietveld;Bruidspaar;1729;
1940;Abraham Cleyn & Cornelia Bosch;Bruidspaar;1729;
1941;Jakob van Wyk;Auteur;;
1942;François de Vicq & Maria Jacoba van Bredehoff;Bruidspaar;1729;
1943;Roelof Westerop;Auteur;;
1944;Ludovicus Ens;Auteur;;
1945;Herman Berckhout & Debora de Vries;Bruidspaar;1729;
1946;Curtius Nordingh Doitsma;Auteur;;
1947;P. Klinkhamer;Auteur;;
1948;Michael Klinkhamer;Auteur;;
1949;Jan Bent;Auteur;;
1950;Pieter Swartendyk;Auteur;;
1951;N.V.K.;Auteur;;
1952;Clemens van der Horst & Catharina Elizabeth de Roo;Bruidspaar;1729;
1953;Nicolaas Geelvinck (1706-1764) & Johanna Jacoba Graafland;Bruidspaar;1729;
1954;Benedictus Marius;Auteur;;
1955;Willem Roos & Catharina Koning;Bruidspaar;1729;
1956;Hendrik Dauw;Auteur;;
1957;Willem Haring & Johanna Cornelia Kingma;Bruidspaar;1729;
1958;P. Haring;Auteur;;
1959;Louis Fabricius Du Bourg & Eva de Kaarsgieter;Bruidspaar;1729;
1960;Zeeger de Kaarsgieter;Auteur;;
1961;Isaac Boonen;Auteur;;
1962;H.K.A.;Auteur;;
1963;Petrus Teger & Clara de Bruyn;Bruidspaar;1729;
1964;Pieter de Bruyn;Auteur;;
1965;A.R. Reen;Auteur;;
1966;Magdalena Reen geb. Pollius;Auteur;;
1967;Gerardus van Wiert & Kornelia Joris;Bruidspaar;1729;
1968;J. Beverwyk;Auteur;;
1969;Izaak Duim;Auteur, Drukker;;
1970;Adriaen Kalden & Kristina Delia Schwencke;Bruidspaar;1730;
1971;Adrianus van der Singel & Elisabeth van der Mijn;Bruidspaar;1730;
1972;Isaac van der Mijn;Auteur;;
1973;Sara van der Mijn geb. van Renard;Auteur;;
1974;Jeremias van der Meer;Auteur;;
1975;Johannes Winkelmans & Geertruida van Wesel;Bruidspaar;1730;
1976;K.T. M.T. Hoogeveen;Auteur;;
1977;Jan Trout & Anna Woelders;Bruidspaar;1730;
1978;Pieter Gouverno;Auteur;;
1979;Johannes Sybing van Hermkhuysen & Maria de Wit;Bruidspaar;1730;
1980;Jasper Koning van der Biet & Elisabeth Swiesen;Bruidspaar;1730;
1981;I.B.;Auteur;;
1982;Steven van Winssenburg & Anna Maria de Mulder;Bruidspaar;1730;
1983;Everhard Menssingh & Clara Theroude;Bruidspaar;1730;
1984;Paulus Theroude;Auteur;;
1985;Stephanus Theroude;Auteur;;
1986;Willem van Vollenhoven & Catharina Wilhelmina Brunink;Bruidspaar;1730;
1987;Iman Mogge & Maria Agatha van Collen;Bruidspaar;1730;
1988;Adriaan Westerhuis & Louisa Schildering;Bruidspaar;1730;
1989;Johannes van der Wyde & Elisabeth van Thiel;Bruidspaar;1730;
1990;Pieter van Vliet;Auteur;;
1991;Nikolaas Kien & Theodora Petronella van Romond;Bruidspaar;1730;
1992;Godfried Sellius & Magdalena Debora Verhoog;Bruidspaar;1730;
1993;Pieter Keetman & Barbara de Leeuw;Bruidspaar;1730;
1994;Jan Sandyk & Maria Catharina Baalde;Bruidspaar;1730;
1995;Johan van Noordwyk & Cornelia ter Borch;Bruidspaar;1730;
1996;A. van Noordwyk;Auteur;;
1997;Abraham Willemsz ter Borch;Auteur;;
1998;H. Scheltus;Auteur;;
1999;Tiberius Reitsma & Magdalena Henrietta Baalde;Bruidspaar;1730;
2000;Magdalena Fruens Reen;Auteur;;
2001;Jakob de Vries & Johanna Elizabet van Bredehoff;Bruidspaar;1730;
2002;Jan van Dorssen & Katarina van Beeck;Bruidspaar;1730;
2003;Nicolaas de Roo & Anna Schoondorp;Bruidspaar;1730;
2004;J. Weyland;Auteur;;
2005;Hendrik de Roo;Auteur;;
2006;Hendrik Ravekes;Auteur;;
2007;Jacobus Oosterdyk & Maria Oxfort;Bruidspaar;1731;
2008;Christianus Brinck;Auteur;;
2009;Maria de Wilde;Auteur;;
2010;Roelof Eelbo & Johanna Jakoba Du Bois;Bruidspaar;1731;
2011;Johannes van Diepenheim & Anna Maria de Swaan;Bruidspaar;1731;
2012;Nicolaas de Swaan;Auteur;;
2013;W. van Diepenheim;Auteur;;
2014;Joannes van den Broek;Auteur;;
2015;Nicolaas Cornelis Crollius & Maria Johannetta Stratenus;Bruidspaar;1731;
2016;Isaak Ostens & Maria Scheltes;Bruidspaar;1731;
2017;Carolus Willemsz Crucius & Anna Maria Laurentius;Bruidspaar;1731;
2018;Adrianus van Bleiswyk;Auteur;;
2019;Cornelia Jacoba Katharina van der Duyn;Auteur;;
2020;Luyther Ryk & Maria Margareta Bellanger;Bruidspaar;1731;
2021;Cornelius Hugo Vonk;Auteur;;
2022;Joannes van Wena;Auteur;;
2023;Franciscus Burman (1708-1793);Auteur;;
2024;Petrus Dathenus & Josina La Croix;Bruidspaar;1731;
2025;Helena Buys;Auteur;;
2026;Johan Hofman;Auteur;;
2027;Maximiliaan Vermeere;Auteur;;
2028;Johannis Hendriksz de Raad;Auteur;;
2029;Godefridus Callenfels;Auteur;;
2030;Petrus Wilhelmus Callenfels;Auteur;;
2031;Abraham Masurel & Anna Catharina Koop van Groen;Bruidspaar;1731;
2032;Hermanus Rietveld & Regista Muilman;Bruidspaar;1731;
2033;Henrik Muilman;Auteur;;
2034;Jan van Marken & Elisabeth Koenerding;Bruidspaar;1731;
2035;Johannes Jonas & Maria Marissal;Bruidspaar;1731;
2036;Adrianus van der Win;Auteur;;
2037;J. Boonen;Auteur;;
2038;A. van A.;Auteur;;
2039;Adolph van Asperen;Auteur;;
2040;Walterus van Heusden & Maria van Waert;Bruidspaar;1731;
2041;Thomas Vieroot & Cornelia van Dooreslaer;Bruidspaar;1731;
2042;Jan Cornelisz Ruyg;Auteur;;
2043;Johan Oostendorp & Suzanna van Koopstadt;Bruidspaar;1732;
2044;Jacobus Philippus d' Orville & Elizabeth Maria van Ryn;Bruidspaar;1732;
2045;Antoni Warin;Auteur;;
2046;Dionys Vermasen & Adriana Vermande;Bruidspaar;1732;
2047;Pieter Kuypers;Auteur;;
2048;Joannes Maiden & Josina Floor;Bruidspaar;1732;
2049;Cornelis V.C. Floor;Auteur;;
2050;Pieter Heinius & Anna Elizabeth van Geel;Bruidspaar;1732;
2051;J.R. van Geel;Auteur;;
2052;C. van Geel;Auteur;;
2053;Samuel van Schalkwyk a Velden;Auteur;;
2054;Jan Visscher & Paulina Koenerding;Bruidspaar;1732;
2055;Gerard Visscher;Auteur;;
2056;Johannes Zallé & Anna Catharina van Naerssen;Bruidspaar;1732;
2057;Isaac Des Obry & Johanna van Royen;Bruidspaar;1732;
2058;Cornelis Floor & Sara Broegh;Bruidspaar;1732;
2059;S. van Bavel;Auteur;;
2060;Johannes Cornelis Chanfleury & Sibilla Elisabeth Pollio;Bruidspaar;1732;
2061;Alardus Adrianus Buurt & Maria Mulet;Bruidspaar;1732;
2062;Johannes Kalkoen;Auteur;;
2063;Rutger Schutte;Auteur;;
2064;Christiaan Martin & Susanna de Jong;Bruidspaar;1732;
2065;Frans Martin;Auteur;;
2066;M. de Jong;Auteur;;
2067;Cornelis Voegen & Diliana Le Grand;Bruidspaar;1732;
2068;Daniel Lafargue & Maria Dammers;Bruidspaar;1732;
2069;Abraham Burman & Joanna Elizabeth van Buren;Bruidspaar;1732;
2070;Johannes de Ruit & Anna van Lochem;Bruidspaar;1732;
2071;Cornelis de Ruit;Auteur;;
2072;P.V.H. D.v.B.;Auteur;;
2073;Diderik van Bleiswyk;Auteur;;
2074;Frans de Haes & Adriana van der Tooren;Bruidspaar;1732;
2075;Floris Bontekoning & Catharina Makreel;Bruidspaar;1732;
2076;Jacob Makreel;Auteur;;
2077;Adriaen Schadee & Zoetje van Kleef;Bruidspaar;1732;
2078;Jan van der Hoop & Johanna Sleght;Bruidspaar;1732;
2079;Japik Andriessen;Auteur;;
2080;Jan Roscam & Jacoba Elizabeth van Meel;Bruidspaar;1733;
2081;Hendrik Koot & Hester van Damme;Bruidspaar;1733;
2082;Johannes Petraeus;Auteur;;
2083;Daniel van Damme;Auteur, Drukker;;
2084;Abram van Batenburg;Auteur;;
2085;Everhard Storm & Cornelia Maria de Wys;Bruidspaar;1733;
2086;Jan Gerard de Wys;Auteur;;
2087;Nicolaas Gybel & Sara Nieukerk;Bruidspaar;1733;
2088;J. Gybel;Auteur;;
2089;A. Boursse;Auteur;;
2090;Hendrik Reiniersz Reyne;Auteur;;
2091;Joan Helmans & Maria Ketelanus;Bruidspaar;1733;
2092;Willem Röell & Elizabeth de Famars;Bruidspaar;1733;
2093;Johannes Stam & Jannetje van Zeyl;Bruidspaar;1733;
2094;A. Penning;Auteur;;
2095;Pieter Burghards;Auteur;;
2096;Izaak (Jr) Du Sart & Anna Maria van Rensselaar;Bruidspaar;1733;
2097;R. Kiliaansz van Rensselaar;Auteur;;
2098;Joannes Isaaksz Du Sart;Auteur;;
2099;Joannes Philippus Scheidius & Anna Maria Du Sart;Bruidspaar;1733;
2100;Izaak Du Du Sart;Auteur;;
2101;Izaak (Jr) Du Sart;Auteur;;
2102;Joannes Isaaksz Sart;Auteur;;
2103;Jacob Du Claux & Eva Kaau;Bruidspaar;1733;
2104;Herman Kaau Boerhaave;Auteur;;
2105;Otto Hendrik Molyn & Judith van Brussel;Bruidspaar;1733;
2106;Isaac Lohoff & Maria Leeser;Bruidspaar;1733;
2107;Jacob L.T.D.P. Leeser;Auteur;;
2108;Jan Volkmar;Auteur;;
2109;Cornelis Jacobsz Ploos van Amstel;Auteur;;
2110;Johan Meerman & Petronelle Geertruyd de Mey;Bruidspaar;1733;
2111;Nikolaes Versteeg & Elizabeth van Deuren;Bruidspaar;1733;
2112;Henrik Muilman & Maria Le Heulle;Bruidspaar;1733;
2113;C. de Bruyn;Auteur;;
2114;Jan Cornelisz Schaap & Elisabeth van den Bergh;Bruidspaar;1733;
2115;Matheus de Ruuscher;Auteur;;
2116;Doe Schim & Maria Garengroot;Bruidspaar;1733;
2117;Johannes Garengroot (Jr);Auteur;;
2118;Bastiaen Molewater & Maria Vink;Bruidspaar;1733;
2119;Willem de Witt & Clasina Maria Ojers;Bruidspaar;1733;
2120;Nicolaas de Mortier;Auteur;;
2121;Jan Jacob Ojers;Auteur;;
2122;Simon Taay van Campen & Maria Jacoba Le Pla;Bruidspaar;1733;
2123;Klara Ghyben;Auteur;;
2124;Carolus Willemsz Crucius & Elizabeth Glaudina van Teylingen;Bruidspaar;1733;
2125;Johannes Jacobus Vitriarius;Auteur;;
2126;Albertus van Westerhof & Anna Maria Kelderman;Bruidspaar;1733;
2127;Cornelis Broeders & Sara Maria de Liefde;Bruidspaar;1733;
2128;Segert Blankert;Auteur;;
2129;Lambertus Mulder & Dina van Neck;Bruidspaar;1733;
2130;J. Langevelt;Auteur;;
2131;Nicolaas Vossius & Agneta Catharina van Wyk;Bruidspaar;1733;
2132;Louis Fremyn & Cornelia Maria van der Port;Bruidspaar;1733;
2133;Jacob van der Port;Auteur;;
2134;Nicolaes Davidsz Fremyn;Auteur;;
2135;Jan Fremyn;Auteur;;
2136;Hendrickus Wilhelmus Fremyn;Auteur;;
2137;Jan van Dilsen;Auteur;;
2138;Johannes van Slangenburgh & Theodora Erhard;Bruidspaar;1733;
2139;Hendrik Kappenberg;Auteur;;
2140;Carolus van Heusden & Anna Frederica Husson;Bruidspaar;1733;
2141;H.T. Heymannus;Auteur;;
2142;J.M. Wolffganck;Auteur;;
2143;Gerrit Blaaupot & Paulina de Bosch;Bruidspaar;1733;
2144;A.J. Westerhoff;Auteur;;
2145;P.S.;Auteur;;
2146;Henricus (1706-1790) Fagel & Catharina Anna Sluysken;Bruidspaar;1733;
2147;Franciscus Ludovicus Piazzoll;Auteur;;
2148;Herman Kaau Boerhaave & Alida Jacoba Coelemey;Bruidspaar;1733;
2149;Vincent van Eyck & Katharina Hofkens;Bruidspaar;1733;
2150;Pierre Barthe;Auteur;;
2151;Magdalena Hofkens;Auteur;;
2152;Jan van Wageningen & Margareta Vertole;Bruidspaar;1733;
2153;Jan van Lokhorst & Maria Mesch;Bruidspaar;1733;
2154;Arnold Boonen & Johanna Beun;Bruidspaar;1734;
2155;Gerard Clemens;Auteur;;
2156;Jan van der Souw;Auteur;;
2157;Jacob Nebbens;Auteur;;
2158;Arnoldus Francken & Elizabeth de Leus;Bruidspaar;1734;
2159;J. Francken;Auteur;;
2160;Jan Erkelens & Johanna Cornelia van Overveld;Bruidspaar;1734;
2161;Jacques Crenier;Auteur;;
2162;Joan onder de Linden;Auteur;;
2163;Cornelis Mosis & Neeltje de Groot;Bruidspaar;1734;
2164;G. J.V.W. Mosis;Auteur;;
2165;P. Mosis;Auteur;;
2166;Isaac van der Mijn & Johanna van Velsen;Bruidspaar;1734;
2167;S. B.M.M.R.H.S.D.H.L.;Auteur;;
2168;Pieter Henry & Johanna Catharina Adriana Guillermet;Bruidspaar;1734;
2169;M. J.B.J. Henry;Auteur;;
2170;P. Auxberbis;Auteur;;
2171;Charle Chais & Wilhelmina Anthonia Paauw;Bruidspaar;1734;
2172;Jan Vischer & Catharina Nunninck;Bruidspaar;1734;
2173;Michiel Hendrik Callenfels & Anna Du Bois;Bruidspaar;1734;
2174;Christiaan Schaaf;Auteur;;
2175;Adam Laurens Callenfels;Auteur;;
2176;O. Callenfels;Auteur;;
2177;Joannes Philippus Scheidius & Agneta Konynenberg;Bruidspaar;1734;
2178;Izaak (Jr) Sart;Auteur;;
2179;Marten Gerritsz Konynenberg;Auteur;;
2180;Adriaan Zeger Basen & Maria Arent;Bruidspaar;1734;
2181;George Harmes & Petronella Elisabeth Koolaert;Bruidspaar;1734;
2182;Elisabeth Hoofman (wed. Koolaert);Auteur;;
2183;Hester Zimmerman Koolaert;Auteur;;
2184;Nikolaes van der Schatte & Martina Schuerbeque;Bruidspaar;1734;
2185;Cornelis Steen & Geertruyd Debora van der Valk;Bruidspaar;1734;
2186;J.E. van der Valk;Auteur;;
2187;Arnold van Aalst & Margareta Sophia Raap;Bruidspaar;1734;
2188;H.B. van Aalst;Auteur;;
2189;P. Raap;Auteur;;
2190;Adrianus van Royen & Adriana Johanna Wesselius;Bruidspaar;1734;
2191;Herman Boerhaave;Auteur;;
2192;Adriaan van Schuylenburch & Catharina van Bleiswyk;Bruidspaar;1734;
2193;François van Bleiswyk;Auteur;;
2194;Joannes Badon & Klara Ghyben;Bruidspaar;1734;
2195;Anna Zeeman;Auteur;;
2196;Pieter baron van Wassenaar van Starrenburg & Anna Arnoudina van den Boetzelaer;Bruidspaar;1734;
2197;P. Hes;Auteur;;
2198;Isaäc Peny & Susanna Barbara Tresel;Bruidspaar;1734;
2199;Benjamin Ruhof & Femeja Tielens;Bruidspaar;1735;
2200;J. Tielens;Auteur;;
2201;Abraham Follé & Johanna Maria de Hondekoeter;Bruidspaar;1735;
2202;Cornelis Ploos van Amstel & Margaretha Magdalena Nessing;Bruidspaar;1735;
2203;Jan Nessing;Auteur;;
2204;J. van Lohoff;Auteur;;
2205;Jacob Jacobsz Ploos van Amstel;Auteur;;
2206;Abraham Rokogh van de Erbervelt;Auteur;;
2207;Johannes Moesel;Auteur;;
2208;Harmanus Volkmar;Auteur;;
2209;Jacob Jansz Boreel & Agneta Margareta Munter;Bruidspaar;1735;
2210;Jacobus van der Puyé & Apolonia van de Groenewal;Bruidspaar;1735;
2211;Nicolaus d' Assonville;Auteur;;
2212;Gerardus van Lier & Elizabet van Breenen;Bruidspaar;1735;
2213;Kornelis van Slingeland;Auteur;;
2214;Samuel Tak & Anna van Hoorn;Bruidspaar;1735;
2215;Balduinus Dobbelaer;Auteur;;
2216;Adriaan Tak;Auteur;;
2217;Gerard Aemilius van Hoogeveen & Maria Jacoba van Schoonhoven;Bruidspaar;1735;
2218;Mattheus Sonnemaens & Geertruid van Helsdingen;Bruidspaar;1735;
2219;Abraham van Helsdingen;Auteur;;
2220;Willem Gerard Sandt & Maria van der Valk;Bruidspaar;1735;
2221;Nicolaes van Duyfhuis & Anthonia Roetringh;Bruidspaar;1735;
2222;B. Walevelt;Auteur;;
2223;Gerard Schot & Suzanna van Rein;Bruidspaar;1736;
2224;Pieter Fontein & Jozina Stol;Bruidspaar;1736;
2225;A. van Vollenhoven;Auteur;;
2226;Hendrik van Santen & Catharina Timmerman;Bruidspaar;1736;
2227;Pieter Timmerman;Auteur;;
2228;H. van Santen;Auteur;;
2229;Arnold Rotterdam;Auteur;;
2230;Johan Lillie & Elizabeth Goske;Bruidspaar;1736;
2231;Adrianus. van Bleiswyk;Auteur;;
2232;Bartolomeus Standaart & Maria de Loos;Bruidspaar;1736;
2233;Jan Snauwaardt;Auteur;;
2234;Johannes Matroos & Eleonora Brandt;Bruidspaar;1736;
2235;Jacob van de Wall & Margarita Elisabeth Eelbo;Bruidspaar;1736;
2236;Aegidius Petraeus;Auteur;;
2237;Henricus van Dobben & Geertrui Bock;Bruidspaar;1736;
2238;Jan Stockelaar & Aletta van Rextel;Bruidspaar;1736;
2239;Gysbert Karel van Hogendorp & Cornelia Jannetta van Hoey;Bruidspaar;1736;
2240;Adriaan Heckenhoek;Auteur;;
2241;Jacob van Hoorn & Berdina Dobbelaer;Bruidspaar;1736;
2242;Boudewijn Dobbelaer;Auteur;;
2243;Adriaen Tak;Auteur;;
2244;Thomas Walton & Maria Flament;Bruidspaar;1736;
2245;Nicolaus van Bronkhorst & Cornelia ter Borch;Bruidspaar;1736;
2246;Gerard Moll;Auteur;;
2247;Ysbrand Vollenhoven & Neeltje van der Haar;Bruidspaar;1736;
2248;J. de Wilde;Auteur;;
2249;Cornelis de Wolff;Auteur;;
2250;Hendrik Pieterson;Auteur;;
2251;J. de Wilde (Jr);Auteur;;
2252;Gerard Beelaerts & Cornelia Eliana Scott;Bruidspaar;1737;
2253;Everhard Joannes van Dam & Conradina Wilhelmina van Zuylen van Nievelt;Bruidspaar;1737;
2254;Arnout Wilhemsz van Citters & Sara Jacoba Ockersse;Bruidspaar;1737;
2255;Jan Henrick de Roo & Johanna Onderwater;Bruidspaar;1737;
2256;Pieter Hoeufft;Auteur;;
2257;Johannes Huisinga & Wyva Agneta Driessen;Bruidspaar;1737;
2258;Johannes Petrus Driessen;Auteur;;
2259;Wilhelmus van Ysselstein;Auteur;;
2260;Anthony Christiaan Muller & Eva Huytingh;Bruidspaar;1737;
2261;M.C. G.F. Huytingh;Auteur;;
2262;Gerrit Muller;Auteur;;
2263;Stephanus Opterbeek;Auteur;;
2264;Jan Jacob Hartsinck & Geertruy Catharina Sweedenryk;Bruidspaar;1737;
2265;Henrik van Elvervelt;Auteur;;
2266;Franciscus Burman (1708-1793) & Anna Geertruyda van Leeuwen;Bruidspaar;1737;
2267;Jacobus Du Marchié & Catharina Debora Sarvaas;Bruidspaar;1737;
2268;Jan Abrahamsz Sarvaas;Auteur;;
2269;Joris van der Woude & Gesina Brink;Bruidspaar;1737;
2270;I. F.V.L. Brink;Auteur;;
2271;J. Baarenbroek;Auteur;;
2272;Marten J.R. Smets;Auteur;;
2273;I.Wz Brink;Auteur;;
2274;Joannes van Eyken & Susanna Vermeulen;Bruidspaar;1737;
2275;Johannes Schardam;Auteur;;
2276;Pieter Georgius Dryfhout & Johanna Willemina Houttuyn;Bruidspaar;1737;
2277;Nicolaas de Mortier & Barbara Strockel;Bruidspaar;1737;
2278;Wolferdina Elisabeth Ojers;Auteur;;
2279;Gerrit Coenraad Ojers;Auteur;;
2280;Jan Jacobsz van Ommering & Maria Anna Granpré;Bruidspaar;1737;
2281;Cornelis Vrolikhert & Petronella van Haarlem;Bruidspaar;1738;
2282;Paulus Berkhout;Auteur;;
2283;J. Reepmaker;Auteur;;
2284;Godewardus Vrolikhert;Auteur;;
2285;Jan Willem van Steenbergen;Auteur;;
2286;Lambertus Mulder & Margareta van de Moesel;Bruidspaar;1738;
2287;Abraham van Wyn & Margareta van Dyk;Bruidspaar;1738;
2288;Johannes Wassenaar;Auteur;;
2289;Pieter Tobyassen Wulphert & Elizabeth de Geiter;Bruidspaar;1738;
2290;Bernard Mauritz & Johanna van Doorn;Bruidspaar;1738;
2291;Gerhard Mauritz;Auteur;;
2292;Cornelis van Citters & Anna Christina de Bye;Bruidspaar;1738;
2293;Nicolaas van der Dussen;Auteur;;
2294;Johannes Nicolaas Treytel;Auteur;;
2295;Pieter Pielat & Johanna Grindet;Bruidspaar;1738;
2296;Paulus Lublink & Anna Helt;Bruidspaar;1738;
2297;J.C.W. J.V.D.B.;Auteur;;
2298;Nicolaas Lublink;Auteur;;
2299;Michiel Adriaensz van den Berg & Kornelia Grimes;Bruidspaar;1738;
2300;Willem de Roo;Auteur;;
2301;Nicolaas Ris van Ryneveld & Jacoba Elisabeth Blondeel;Bruidspaar;1738;
2302;Jan Oldenhoven van Ryneveld;Auteur;;
2303;Valentijn Jan Blondeel;Auteur;;
2304;Bernhardus Pagenstecher;Auteur;;
2305;Paulus Hoyer van Brakel & Anna Mulder;Bruidspaar;1738;
2306;P. de Vaynes van Brakel;Auteur;;
2307;Nicolaas Londt & Catharina van Doornum;Bruidspaar;1738;
2308;H. van Doornum;Auteur;;
2309;Andries Westerwyk Forsborgh & Susanna Magdalena Haak Kerkman;Bruidspaar;1738;
2310;Abraham Tersier;Auteur;;
2311;A.S. Haak;Auteur;;
2312;Gerardus Noest;Auteur;;
2313;Joan Bols ten Oever;Auteur;;
2314;Michiel van Bolhuis & Alegonde Beckeringh;Bruidspaar;1738;
2315;Adrianus Hector Walter de Vriese;Auteur;;
2316;Dirk van Lobbrecht & Jakoba Christina van Poolsum;Bruidspaar;1739;
2317;Hendrik Versteeg;Auteur;;
2318;Petrus Georgius van Poolsum;Auteur;;
2319;Wilhelmus Nicasius Kien;Auteur;;
2320;Jakob van der Mandere & Petronella Geertruid van Berckel;Bruidspaar;1739;
2321;Wybrand van Itsma & Maria Boef;Bruidspaar;1739;
2322;Willem Munter & Catharina Cornelia Backer;Bruidspaar;1739;
2323;Arnout van Baeck & Maria van Bockom;Bruidspaar;1739;
2324;Lambertus van Yzendoorn & Anna Wor;Bruidspaar;1739;
2325;Silvester Aemilius ten Brink & Anna Magteld Roelink;Bruidspaar;1739;
2326;Jacob Joan Fockinck;Auteur;;
2327;Simon onder de Linden & Mondina den Raven;Bruidspaar;1739;
2328;Henricus Iz Leembrugge;Auteur;;
2329;Nicolaas Tetterode & Anna Cornelia Elisabeth Marcus;Bruidspaar;1740;
2330;Jan Biman;Auteur;;
2331;Hendrik Callenbach;Auteur, Drukker;;
2332;B. Clamator;Auteur;;
2333;Samuel Abrahamsz Tak & Petronella Oudenaerde;Bruidspaar;1740;
2334;P.V. Roemer;Auteur;;
2335;Jan Frederick de Mey & Wilhelmina Cornelia Du Bois;Bruidspaar;1740;
2336;Christoffel Kristiaan Brender à Brandis;Auteur;;
2337;Abraham onder de Linden & Rachel onder de Linden;Bruidspaar;1740;
2338;M.D. Kamp;Auteur;;
2339;Cornelis van Collen & Maria Jacoba Vallensis;Bruidspaar;1740;
2340;Josua van der Poorten & Hillegonda Josina van Eik;Bruidspaar;1740;
2341;Justus van Maurik;Auteur;;
2342;Gerard Westerwyk;Auteur;;
2343;Simon d'Amour;Auteur;;
2344;Frans de Haes (1708-1761);Auteur;;
2345;A. Blok;Auteur;;
2346;Gerrit Blaaupot;Auteur;;
2347;Abraham Suderman;Auteur;;
2348;Matthijs Straalman;Auteur;;
2349;Abraham de (1707-1748) Haen;Auteur;;
2350;F.B.S.;Auteur;;
2351;Jean Lucas Pels & Anna Elisabeth Geelvinck;Bruidspaar;1740;
2352;Jacob Cornelisz Dekker & Aaltje Gerrits Mars;Bruidspaar;1741;
2353;Cornelis Schoon;Auteur;;
2354;Theodorus Beels & Maria van Royen;Bruidspaar;1741;
2355;Willem Brambach & Elisabeth Overbeek;Bruidspaar;1741;
2356;H. Wittemeyer;Auteur;;
2357;Johan Hage & Johanna Magdalena de Mey;Bruidspaar;1741;
2358;Pieter van der Nolk & Cornelia Houthoff;Bruidspaar;1741;
2359;Jan Borghorst & Maria van Tarelink;Bruidspaar;1741;
2360;Arend Musketier & Johanna Immerseel;Bruidspaar;1741;
2361;Cornelis Izaaksz van den Bogaerd;Auteur;;
2362;Simon Anthoni de Vries & Anna Maria Sonnemaens;Bruidspaar;1741;
2363;Jan Pieter Lobé;Auteur;;
2364;Dirk Farret & Dina Maria Canzius;Bruidspaar;1741;
2365;Henricus Gockinga;Auteur;;
2366;Jan de Cerff;Auteur;;
2367;Gijsbert Antwerpen Verbrugge & Maria Hooft;Bruidspaar;1741;
2368;Hendrik Houtkamp;Auteur;;
2369;Aegidius van der Dussen & Soethea Francoise Meerman;Bruidspaar;1742;
2370;Delpho-Batavus;Auteur;;
2371;Cornelis van Heycop & Sara Pielat;Bruidspaar;1742;
2372;P.L. Pielat;Auteur;;
2373;Jan Mannoury & Maria Bruynenburgh;Bruidspaar;1742;
2374;D. Heerde;Auteur;;
2375;Anthony Bartelink;Auteur;;
2376;Bernardus de Bosch & Margareta van Leuvenig;Bruidspaar;1742;
2377;Frederik Guillaume baron van Reede Aegrim & Louisa Isabella Hermelina barones van Wassenaar van Duivenvoorde;Bruidspaar;1742;
2378;Abraham van Goudswaert & Elisabet Outerman;Bruidspaar;1742;
2379;Paulus s' Graeuwen & Judith Schluiter;Bruidspaar;1742;
2380;Hendrik Das & Sara Bernardina Luykink;Bruidspaar;1742;
2381;Junior P.V.H.;Auteur;;
2382;T. Hanius;Auteur;;
2383;Everard Janszoon de Burlett;Auteur;;
2384;Adriaan Koekebakker;Auteur;;
2385;H.C.;Auteur;;
2386;Everard de Burlett de jonge;Auteur;;
2387;Jan Jacobsz de Groot;Auteur;;
2388;Petrus Schregardus;Auteur;;
2389;Hendrik Baalde & Willemina Vink;Bruidspaar;1742;
2390;Wiggardus Killewig & Johanna Françoise van Teylingen;Bruidspaar;1742;
2391;Aarnoud de Bock;Auteur;;
2392;Johan Cornelissen den Ebo;Auteur;;
2393;Jan Hooft & Maria Margareta Corver;Bruidspaar;1742;
2394;Stephanus Bogaard & Syberta Magdalena van Griethuizen;Bruidspaar;1742;
2395;Johan Gerard van Borckeloo;Auteur;;
2396;Andries Munter & Margareta Johanna Bors van Waveren;Bruidspaar;1742;
2397;Hendrik de Pyper;Auteur;;
2398;Jakob van Gesseler & Anna Kornelia Maria Nysingh;Bruidspaar;1742;
2399;Meinardus Hemsterhuis;Auteur;;
2400;Willem Arnold Alting;Auteur;;
2401;Jacob Wilhelm Lustig;Auteur;;
2402;Cornelis Munter & Margareta Kornelia van de Poll;Bruidspaar;1743;
2403;Nicolaas Geelvinck (1706-1764) & Hester Elisabeth Hooft;Bruidspaar;1743;
2404;Mattheus Temminck;Auteur;;
2405;Arend Rog-aar;Auteur;;
2406;Jacobus Gysbertus Wichmans & Martha Henriëtta de Superville;Bruidspaar;1743;
2407;Jacob Frederik Lantsheer;Auteur;;
2408;Benjamin Taats;Auteur;;
2409;Aelbrecht van der Burch & Jacomina Immerseel;Bruidspaar;1743;
2410;Jan Wybo & Elisabeth Joanna Canzius;Bruidspaar;1743;
2411;Hendrik Fiers Ravesteyn;Auteur;;
2412;David Kappeine;Auteur;;
