0;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
480;1640;Dirck Kasteleyn;Elisabeth de Vries;Dirck Kasteleyn & Elisabeth de Vries;Denijs Verschuere;Den Haag;;;;;;;;;;;;;;;;;;;;;;
481;1711;Gilbert de Flines;Susanna Elisabeth Du Pré;Gilbert de Flines & Susanna Elisabeth Du Pré;Hendrik van de Gaete;Den Haag;Jan Frederik Teeckman ;Hendrik van de Gaete ;Ludolph Smids ;Daniel Willink ;Hermannus Angelkot (1688-1727);F.V.W.;P.A.;I.E.F.;;;;;;;;;;;;;;
482;1729;Cornelis van der Strengh;Hillegonda Duyf;Cornelis van der Strengh & Hillegonda Duyf;Gerrit Bouman;;Gerrit Bouman ;Jacobus van der Strengh ;Philip Zweerts ;Claas Bruin ;Adriaan Jacobsz van Ommering ;Gijsbert Tysens ;J.W. Hazebroek ;Johannes Meyer ;;;;;;;;;;;;;;
483;1707;Geleyn Evertsen;Johanna van Citters;Geleyn Evertsen & Johanna van Citters;Gillis van Limburg;Amsterdam;Pieter de Bye ;;;;;;;;;;;;;;;;;;;;;
484;1745;Roeloff Woudman;Anna Catharina Heggers;Roeloff Woudman & Anna Catharina Heggers;Nicolaas Byl;Amsterdam;Mattheus Christiaansz Heggers ;M. van Zuylen ;Mattheus Swaving ;Christianus Swaving ;Cornelis Domburg ;Sara Maria van der Wilp ;Joannes Maiden ;F.J. Veltkamp ;François Lentfrinck ;Lucas Pater ;;;;;;;;;;;;
485;1754;Jan Willem van Steenbergen;Gysberta Wilhelmina de Vulder;Jan Willem van Steenbergen & Gysberta Wilhelmina de Vulder;Abraham Blussé;Amsterdam;Abraham Blussé ;Petronella Catharina van Steenbergen ;Adriaan Kluit ;;;;;;;;;;;;;;;;;;;
486;1731;Barent Klinkhamer;Cecilia Looten;Barent Klinkhamer & Cecilia Looten;Frederik Klinkhamer;Utrecht;Govert Klinkhamer ;Barent (Jr) Klinkhamer ;;;;;;;;;;;;;;;;;;;;
487;1732;Cornelis Johannes Rycken;Catharina Lach;Cornelis Johannes Rycken & Catharina Lach;Cornelis van Zanten;Enkhuizen;Jacobus Nicolaes Turcq ;Jacobus Adrianus Folkers ;Cornelia Adriana Folkers ;;;;;;;;;;;;;;;;;;;
488;1759;Nicolaas (Jr) Lublink;Angneta Fogh;Nicolaas (Jr) Lublink & Angneta Fogh;Gerardus (Jr) Lequien;Amsterdam;Daniel Roeper Lublink ;Laurens Bosch ;H. Fogh ;Jan Hendrik Fogh ;J.F. Kehler ;;;;;;; ;;;;;;;;;;
489;1729;Jan Joostsz van Eik;Leonora de Vogel;Jan Joostsz van Eik & Leonora de Vogel;;Amsterdam;Adriaan van Cattenburch ;Pieter van der Schelling ;Isaac Verburg ;Kornelis Willemsz Westerbaen ;J.V.;Jacobus Targier ;Claas Bruin ;Wilhem Suderman ;Arnold Nachtegael Klemens;Pieter Klinkert;Abraham de Haen (1707-1748);Jan Abraham Willink;Abraham Meylincq ;Bernardus de Bosch;;;;;;;;
490;1756;Hermanus Esser;Geertruy de Bruyn;Hermanus Esser & Geertruy de Bruyn;Jacobus Haffman;;Isaac Esser ;Johannes Esser ;J.S. Esser ;;;;;;;;;;;;;;;;;;;
491;1664;Gerhard Warmeloo;Johanna Tichlers;Gerhard Warmeloo & Johanna Tichlers;Willem Wier;Buren;;;;;;;;;;;;;;;;;;;;;;
492;1747;Matthias Wilhelm Adam de Rhoer;Anna Cornelia van Alphen;Matthias Wilhelm Adam de Rhoer & Anna Cornelia van Alphen;;Amsterdam;Jacobus de Rhoer ;Jan Groeneveldt ;K. Casius ;Kornelis Elzevier ;;;;;;;;;;;;;;;;;;
493;1740;Gillis van den Bempden;Katharine Grey;Gillis van den Bempden & Katharine Grey;Barent Paats;Amsterdam;Abraham Titsingh ;;;;;;;;;;;;;;;;;;;;;
494;1733;Gillis de Bergh;Maria Eeverars;Gillis de Bergh & Maria Eeverars;Cornelis van Aalst;Amsterdam;Lowys van Essen ;;;;;;;;;;;;;;;;;;;;;
495;1618;Cornelis Dieryckz;Magdalena Ruts;Cornelis Dieryckz & Magdalena Ruts;Paulus Aertsz van Ravesteyn;Rotterdam;Theodoor Rodenburg ;;;;;;;;;;;;;;;;;;;;;
496;1619;Lucas van Valckenburgh;Susanna Coeymans;Lucas van Valckenburgh & Susanna Coeymans;Paulus Aertsz van Ravesteyn;Amsterdam;Theodoor Rodenburg ;;;;;;;;;;;;;;;;;;;;;
497;1701;Jan van Halmael;Cornelia de Veer;Jan van Halmael & Cornelia de Veer;Lescailje;Haarlem;G. van Halmael ;Hester van Halmael ;J.J. Coppenol Efflant ;Jan de Regt ;Hendrik van Halmael ;Aegidius van Hoven ; ;;; ;;;;;;;;;;;;
498;1728;Franciscus van Bredehoff;Amaranta Velius;Franciscus van Bredehoff & Amaranta Velius;Adrianus Brouwer;Haarlem;Curtius Nordingh Doitsma ;Cornelius de Feyfer ;J.R. van Hoolwerff ;Johannes Erhard ;Fredrick Slob ;Claas 't Lam ;Ludovicus Ens ;J. van Bredehoff ;;;;;;;;;;;;;;
499;1737;Isaac van der Mijn;Sara Honvlee;Isaac van der Mijn & Sara Honvlee;;;Daniel Taayspel ;Lodewyk S.N. Marcellus ;Michiel Martyn ;;;;;;;;;;;;;;;;;;;
500;1619;Jan Jacobsz Kan;Elizabeth Pieters Krabbemoers;Jan Jacobsz Kan & Elizabeth Pieters Krabbemoers;Paulus Aertsz van Ravesteyn;Leiden;Theodoor Rodenburg ;;;;;;;;;;;;;;;;;;;;;
501;1716;Adriaan Laurensz van der Vinne;Maria van Oudshoorn;Adriaan Laurensz van der Vinne & Maria van Oudshoorn;Hermanus van (wed) Hulkenroy;Noordwijk;N. Verbeek ;P. van Dam ;Josua de Smet ;T.K. Haaxma ;Govert van Mater ;Jan Olthoff ;Pieter (Jr) Merkman ;Jan Marchand ;Aäron van Hulkenroy ;Mozes van Hulkenroy ;;;;;;;;;;;;
502;1720;Galenus van Baerle;Johanna Willemina Streso;Galenus van Baerle & Johanna Willemina Streso;Willem Barents;Amsterdam;Aurelia Zwartte ;Matthaeus Brouërius van Nidek ;Hermanus Verwit ;L. Ryk ;;;;;;;;;;;;;;;;;;
503;1749;Abraham Erbervelt;Cornelia Ploos van Amstel;Abraham Erbervelt & Cornelia Ploos van Amstel;;Amsterdam;Joachim Oudaen ;;;;;;;;;;;;;;;;;;;;;
504;1708;Jacob Verbeek;Maria van Raat;Jacob Verbeek & Maria van Raat;Goeree;;Adriaan J.B. Spinniker ;Jan Geldorp ;;;;;;;;;;;;;;;;;;;;
505;1754;Jacobus de Vos Kops;Maria Feitama;Jacobus de Vos Kops & Maria Feitama;;Amsterdam;Willem Kops ;Jan Olthoff ;;;;;;;;;;;;;;;;;;;;
506;1752;Jan van Dilsen;Margaretha Maria van Blokland;Jan van Dilsen & Margaretha Maria van Blokland;;Amsterdam;Claas Veeckens ;;;;;;;;;;;;;;;;;;;;;
507;1740;Frantz Johan van Motzfeldt;Maria Elisabeth van Schwarem;Frantz Johan van Motzfeldt & Maria Elisabeth van Schwarem;Cornelis van Zanten;Amsterdam;Johan Conraed Carp ;;;;;;;;;;;;;;;;;;;;;
508;1678;Iman Mogge;Constance Thibaut;Iman Mogge & Constance Thibaut;Thomas Teyler;Amsterdam;Joannes Antonides van der Goes ;;;;;;;;;;;;;;;;;;;;;
509;1674;Philippus van Limborgh;Cornelia van der Kerck;Philippus van Limborgh & Cornelia van der Kerck;Elisabet van Sorgen;Amsterdam;Wilhelmus Lomannus ;;;;;;;;;;;;;;;;;;;;;
510;1731;Theodoor van Snakenburg;Friderica Albinus;Theodoor van Snakenburg & Friderica Albinus;;Noordwijk;Franciscus van Oudendorp ;Balthazar Huydecoper ;Jacob Michielsz Elias ;Hendrik Snakenburg ;Arnold Hoogvliet ;Hendrik Schim ;Jan Wandelaar ;;;;;;;;;;;;;;;
511;1723;Jan Knuyse;Geertruyda van Schaick;Jan Knuyse & Geertruyda van Schaick;Isaak van der Putte;Leeuwarden;Lucas Konynenberg ;;;;;;;;;;;;;;;;;;;;;
512;1718;Ellart de Weer de Wit;Alida Entrop;Ellart de Weer de Wit & Alida Entrop;Hendrik van de Gaete;Leiden;Johannes de Wit (Jr) ;Petrus de Wit ;Laurens de Haan ;; ; ;;;;;;;;;;;;;;;;
513;1746;Jan Moilives van der Noot;Elisabeth Denys;Jan Moilives van der Noot & Elisabeth Denys;Hendrik Smets;;Magdalena Barbara Wellekens ;Gerard Bullens Voogt ;Willem Blaauw ;Eduard van Nikkelen ;D.D.; ;;;;;;;;;;;;;;;;
514;1731;François de Leus;Maria Dibbetz;François de Leus & Maria Dibbetz;Jan Kouwe;Middelburg;Jan Kouwe ;Nicolaas de Leus ;Benjamin van der Meer ;Willem van Goch ;;;;;;;;;;;;;;;;;;
515;1725;Nicolaas Pancras;Anna Elisabeth Geelvinck;Nicolaas Pancras & Anna Elisabeth Geelvinck;Wetstein;;Rudolf Wetstein ;Isaac Verburg ;Hermanus van den Burg ;Frederik Hendrik Wetstein ;George Wetstein ;;;;;;;;;;;;;;;;;
516;1725;William Smith;Agatha Cornelia Wetstein;William Smith & Agatha Cornelia Wetstein;Wetstein;;Isaac Verburg ;Jan Wagenaar ;Johan Lodewyk Schuer ;George Wetstein ;Jacobus Wetstein ;;;;;;;;;;;;;;;;;
517;1729;Dirk Trip;Agatha Levina Geelvinck;Dirk Trip & Agatha Levina Geelvinck;Wetstein;Amsterdam;Isaac Verburg ;Rudolf Wetstein ;Frederik Hendrik Wetstein ;Sebastiaan Schram ;Hermanus van den Burg ;;;;;;;;;;;;;;;;;
518;1712;Anthony Rooleeuw;Anna de Wilde;Anthony Rooleeuw & Anna de Wilde;;Amsterdam;David van Hoogstraten ;Pieter van den Berge ;;;;;;;;;;;;;;;;;;;;
519;1747;Cornelis van Rhenen;Cecilia Beeke;Cornelis van Rhenen & Cecilia Beeke;Theodorus Crajenschot;Willemstad;Cornelis van Rhenen ;Cecilia Beeke ;Petronella Beeke ;Abigail van Rhenen ;Elizabeth van Esterwegen ;Simon Jansz Beeke ;J.E. Sasselee ;B.S.S.;Henricus Beeke ;Mathys Verdonk ;Abraham de Haen (1707-1748) ;;;;;;;;;;;
520;1730;Michiel van Kouwenberg;Johanna van Dam;Michiel van Kouwenberg & Johanna van Dam;Evert de Melander;Dordrecht;Nikolaes Versteeg ;Adriaan van der Vliet ;;;;;;;;;;;;;;;;;;;;
521;1692;Joan de Witt (1662-1701);Wilhelmina de Witt;Joan de Witt (1662-1701) & Wilhelmina de Witt;;;Caspar Brandt ;;;;;;;;;;;;;;;;;;;;;
522;1692;Joan de Witt (1662-1701);Wilhelmina de Witt;Joan de Witt (1662-1701) & Wilhelmina de Witt;;;Caspar Brandt ;;;;;;;;;;;;;;;;;;;;;
523;1692;Joan de Witt (1662-1701);Wilhelmina de Witt;Joan de Witt (1662-1701) & Wilhelmina de Witt;;Amsterdam;Caspar Brandt ;;;;;;;;;;;;;;;;;;;;;
524;1723;Adriaan Snouck;Adriana Alida Pompe van Meerdervoort;Adriaan Snouck & Adriana Alida Pompe van Meerdervoort;Joannes van Braam;;Cornelis Vrolikhert ;Joannes van Braam ;;;;;;;;;;;;;;;;;;;;
525;1755;Hermanus van Aalst;Theodora van Hillegom;Hermanus van Aalst & Theodora van Hillegom;Theodorus Crajenschot;;Coenraad van Hillegom ;;;;;;;;;;;;;;;;;;;;;
526;1622;Nicolaes Abeel;Claesgen Claes;Nicolaes Abeel & Claesgen Claes;Vincent I Casteleyn;;;;;;;;;;;;;;;;;;;;;;;
527;1739;Hendrik Ackervelt;Anna Hanke;Hendrik Ackervelt & Anna Hanke;Petrus Dathenus;;Jacobus Willemsen ;Gerhard Step ;Petrus Andriessen de Dathenus ;Jakobus Waal ; ; ;;;;;;;;;;;;;;;;
528;;Cornelis Aemilius;Johanna Maria van der Meulen Niellius;Cornelis Aemilius & Johanna Maria van der Meulen Niellius;Jan van Beyeren;Den Haag;Jacob Josias Vryburgh van de Kapelle ;Jacob Lakeman ;Maarten Kind ;Guiliam Toussaint Domis ;;;;;;;;;;;;;;;;;;
529;1721;Gerardus Aemilius;Elizabeth Antonia van der Meulen Niellius;Gerardus Aemilius & Elizabeth Antonia van der Meulen Niellius;Jan van Beyeren;;Jacob Josias Vryburgh van de Kapelle ;Jacob Lakeman ;Maarten Kind ;Guiliam Toussaint Domis ;;;;;;;;;;;;;;;;;;
530;1721;Robertus Aemilius;Maria de Hennion;Robertus Aemilius & Maria de Hennion;Jan van Beyeren;Scheveningen;Jacob Josias Vryburgh van de Kapelle ;Jacob Lakeman ;Maarten Kind ;Guiliam Toussaint Domis ;;;;;;;;;;;;;;;;;;
531;1745;Johan van Alphen (1710-1750);Wilhelmina Lucia van Alphen;Johan van Alphen (1710-1750) & Wilhelmina Lucia van Alphen;Johannes de Cros;Middelburg;;;;;;;;;;;;;;;;;;;;;;
532;1645;Simon van Alphen;Magdalena de Hertoog;Simon van Alphen & Magdalena de Hertoog;Willem Christiaens van der Boxe;Alkmaar;;;;;;;;;;;;;;;;;;;;;;
533;1759;Louis André;Johanna van Maasland;Louis André & Johanna van Maasland;Theodorus Crajenschot;Alkmaar;Sebastiaan Vin ;;;;;;;;;;;;;;;;;;;;;
534;1723;Isaak Angelkot;Maria Carlier;Isaak Angelkot & Maria Carlier;Willem Barents;Schiedam;David van Hoogstraten ;Claas Bruin ;Jan Geldorp ;Harmanus Meyer ;Joannes Graafman ;J.S.D.;J.H.;;;;;;;;;;;;;;;
535;1697;Everhart Arentzen;Katharyne van Aferen;Everhart Arentzen & Katharyne van Aferen;Arnoldus Curtenius;;Arnold Moonen ;;;;;;;;;;;;;;;;;;;;;
536;1727;Jacob van Arp;Anna Maria Hiddinck;Jacob van Arp & Anna Maria Hiddinck;Adriaan van Boekholt;Amsterdam;Jan van Leeuwen ;;;;;;;;;;;;;;;;;;;;;
537;1701;Everardus Assenberg;Elisabeth Sasselee;Everardus Assenberg & Elisabeth Sasselee;Jan van Damme;;Hermannus Oosterdyk Schacht ;;;;;;;;;;;;;;;;;;;;;
538;1730;Herman Aukema;Cornelia van Nieuwstadt;Herman Aukema & Cornelia van Nieuwstadt;Reinier Beukelman;;A.A.;Curtius Nordingh Doitsma ;C.C.;J.A.T.;Pieter Straat ;Sigebertus Lakeman ;Ludovicus Ens ;Roelof Westerop ;Jacobus de Boer ;;;;;;;;;;;;;
539;1723;Jacobus Baert;Petronella Engels;Jacobus Baert & Petronella Engels;Pieter van den II Berge;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
540;1722;Johan Baert;Anna Duisingh;Johan Baert & Anna Duisingh;Jan van Beyeren;;B. Zytsema ;Gerardus Kempher ;Jacob Lakeman ;Maarten Kind ;C. Lugt ; ;;;;;;;;;;;;;;;;
541;1690;Herbert van Beaumont;Sara Maria Snels;Herbert van Beaumont & Sara Maria Snels;Dirck Bockhoven;Amsterdam;Samuel Munckerus ;;;;;;;;;;;;;;;;;;;;;
542;1738;Hendrik Pieter van Beek;Maria Aletta Vermande;Hendrik Pieter van Beek & Maria Aletta Vermande;Pieter de (wed) Kuyper Coup;Leimuiden;Lodewijk de Neufville ;Bruno J.W.P. Tideman ;van Beek ;Aarnout de Coup ;Jacobus van der Strengh ;Lucas Pater ;Abraham de Haen (1707-1748);Christina Leonora de Neufville ;; ;;;;;;;;;;;;
543;1668;Dirck Dircksz Bel;Geertje Jacobs van der Putte;Dirck Dircksz Bel & Geertje Jacobs van der Putte;Jacob IJsbrantsz Bos;;;;;;;;;;;;;;;;;;;;;;;
544;1758;Joannes Henricus Belleflam;Maria Gesiena Ruhoff;Joannes Henricus Belleflam & Maria Gesiena Ruhoff;Theodorus Crajenschot;Haarlem;Jacobus Hermanus Belleflam ;Joannes Jacobus Jotzselaar ;Joannes Michaël Lageman ;;;;;;;;;;;;;;;;;;;
545;1715;Engelbrecht van Berkel;Theodore Petronelle van Hoogendorp;Engelbrecht van Berkel & Theodore Petronelle van Hoogendorp;Johan van Doesburg;;Johannes Obreen ;Johan van Doesburg ;;;;;;;;;;;;;;;;;;;;
546;1696;Niklaas Beuns;Margareta Beuns;Niklaas Beuns & Margareta Beuns;Boeteman;Delft;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
547;1757;Hieronimus van Beurden;Elisabeth Houwert;Hieronimus van Beurden & Elisabeth Houwert;Theodorus Crajenschot;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
548;1639;Hendrik Bicker (1615-1651);Eva Geelvinck;Hendrik Bicker (1615-1651) & Eva Geelvinck;Joost Broersz;Den Haag;;;;;;;;;;;;;;;;;;;;;;
549;1667;Pieter Cornelisz Blauw;Liefje Jansd;Pieter Cornelisz Blauw & Liefje Jansd;Cornelis Croock;Amsterdam;J.D. V.J.D.S.H. Opperdoes ;;;;;;;;;;;;;;;;;;;;;
550;1620;Jacob Jacobsen Blauwenhelm;Catharina Claes Roch;Jacob Jacobsen Blauwenhelm & Catharina Claes Roch;Jan Banningh;Medemblik;Elbert Dircksoon ;;;;;;;;;;;;;;;;;;;;;
551;1750;Joannes Bloemen;Colomba Duyn;Joannes Bloemen & Colomba Duyn;Theodorus Crajenschot;Leiden;T.J. Ewald ;;;;;;;;;;;;;;;;;;;;;
552;1723;Jacob Hendrik Blydenberg;Wilmina van der Sluys;Jacob Hendrik Blydenberg & Wilmina van der Sluys;Willem Barents;Leiden;Gijsbert Tysens ;Dirk Dirkse Blom ;;;;;;;;;;;;;;;;;;;;
553;1750;Caspar Boekholtz;Cornelia Margareta Camerbeek;Caspar Boekholtz & Cornelia Margareta Camerbeek;Theodorus Crajenschot;Den Haag;D. Boekholtz ;Splinterus Françiscus Camerbeek ;;;;;;;;;;;;;;;;;;;;
554;1617;Govert Boelisz;Margrieta Adriaens;Govert Boelisz & Margrieta Adriaens;Gerrit Hendricxsz van Breughel;Hoorn;;;;;;;;;;;;;;;;;;;;;;
555;1621;Marcus Boerhaven;Christina Bochellion;Marcus Boerhaven & Christina Bochellion;Marten Jansz Brandt;Zaandam;;;;;;;;;;;;;;;;;;;;;;
556;1749;Michiel van Bommel;Maria Ackerman;Michiel van Bommel & Maria Ackerman;Theodorus Crajenschot;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
557;1723;Lambertus Bondt;Anna Helena van der Sluys;Lambertus Bondt & Anna Helena van der Sluys;Hendrik Bosch;Amsterdam;Gulliam van der Sluys ;Gijsbert Tysens ;D. Dubourg ;Adrianus van Teems ;Jan van Dinteren ;;Hendrik Bosch ;;;;; ;;;;;;;;;;
558;;Abraham Booner;Cornelia Steen;Abraham Booner & Cornelia Steen;Christoffel Cunradus;Leiden;Joannes G.L. Brandt ;;;;;;;;;;;;;;;;;;;;;
559;1709;Willem ter Borch;Catharina Anna Muys van Holy;Willem ter Borch & Catharina Anna Muys van Holy;Robert Blokland;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
560;1709;Willem ter Borch;Catharina Anna Muys van Holy;Willem ter Borch & Catharina Anna Muys van Holy;Robert Blokland;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
561;1745;Abraham van den Bosch;Sara Willink;Abraham van den Bosch & Sara Willink;Jacob ter Beek;Amsterdam;C.A. van den Bosch ;Cornelis Isaaksz van den Bogaerd ;Dirk Willink ;Dirk van Beek ;J. van den Bosch ;;;;;; ; ;;;;;;;;;;
562;1709;Jacob van den Bosch;Cornelia van Grein;Jacob van den Bosch & Cornelia van Grein;Barent Bos;Amsterdam;Dirk Louweris van den Bosch ;Dirk Ariense van den Bosch ;Jan Pietersz Kruyf ;Jan Ariense Kruyf ;Ary Molenaar ;Dirk Jooste Buiteweg ;;;;;;;;;;;;;;;;
563;1753;Rutgerus Braamcamp;Jacoba Francisca van Malsen;Rutgerus Braamcamp & Jacoba Francisca van Malsen;Theodorus Crajenschot;Den Haag;;;;;;;;;;;;;;;;;;;;;;
564;1756;Jan Carel Bractearius;Anna Elisabeth de La Fontaine;Jan Carel Bractearius & Anna Elisabeth de La Fontaine;Hendrik Willem Dronsberg;Middelburg;Abraham de Bucquoy ;Coenraad Hollebeek ;Hendrik Willem Dronsberg ;;;;;;;;;;;;;;;;;;;
565;1648;Arnout van Brakel;Adriana Huysens;Arnout van Brakel & Adriana Huysens;Ludolph Breeckevelt;Amsterdam;Conrad Romeling ;;;;;;;;;;;;;;;;;;;;;
566;1731;Jacobus Brakenburg;Josyna van de Velde;Jacobus Brakenburg & Josyna van de Velde;Enschede;;;;;;;;;;;;;;;;;;;;;;;
567;1712;Pieter van den Brande;Petronelle Geertruit van Berkel;Pieter van den Brande & Petronelle Geertruit van Berkel;"Caspar; Böhm Fritsch";Amsterdam;Joan de Haes ;;;;;;;;;;;;;;;;;;;;;
568;1712;Pieter van den Brande;Petronelle Geertruit van Berkel;Pieter van den Brande & Petronelle Geertruit van Berkel;Reinier van Doesburg;Amsterdam;Johannes Obreen ;;;;;;;;;;;;;;;;;;;;;
569;1750;Willem van Brienen;Anna de Jongh;Willem van Brienen & Anna de Jongh;Theodorus Crajenschot;Rotterdam;Arnoldus van Brienen ;Johannes van K.V.D. Brienen ;Henri Jean Roullaud ;;; ;;;;;;;;;;;;;;;;
570;1730;Hendrik Brinkman;Anna Elisabeth Herfst;Hendrik Brinkman & Anna Elisabeth Herfst;Bruyn;Amsterdam;Matthijs Herfst ;J. J.W. Croese ;Lucas Pater ;J. Ketelhoed ; ; ;;;;;;;;;;;;;;;;
571;1748;Gerardus de Broen;Margareta Dronkemol;Gerardus de Broen & Margareta Dronkemol;De Broen;Dordrecht;Gerred de Broen ;Jan Remery ;;;;;;;;;;;;;;;;;;;;
572;1717;Adrianus Brouwer;Maria van der Werff;Adrianus Brouwer & Maria van der Werff;Joannes van Braam;Amsterdam;Joannes van Braam ;;;;;;;;;;;;;;;;;;;;;
573;1699;Jozias de Bruin;Elizabeth Penning;Jozias de Bruin & Elizabeth Penning;Willem de Coup;Groningen Emden;François de Kaarsgieter ;;;;;;;;;;;;;;;;;;;;;
574;1729;Jeremias Henricus Brunings;Froukje Fopma;Jeremias Henricus Brunings & Froukje Fopma;Gerrit Bouman;Amsterdam;Johannes Meyer ;;;;;;;;;;;;;;;;;;;;;
575;1708;Jan de Bruyn;Elisabeth Vingerhoedt;Jan de Bruyn & Elisabeth Vingerhoedt;Joannes van Braam;;François van Bochoven ;Joannes van Braam ;Blasius van Slingeland ;;;;;;;;;;;;;;;;;;;
576;1757;Jelmer de Bruyn;Anna Maria Slebosch;Jelmer de Bruyn & Anna Maria Slebosch;Hendrik Willem Dronsberg;Rotterdam;Justus de Bruyn ;Joan Stouw ;Willem de Bruyn ;Ahazueer van den Berg ;Adriaan Kluit ;;;;;;; ;;;;;;;;;;
577;1749;Willem de Bruyn;Maria Geertruyda van der Linden;Willem de Bruyn & Maria Geertruyda van der Linden;Theodorus Crajenschot;Amsterdam;Pieter Coeymans ;Js Liphart ;;;;;;;;;;;;;;;;;;;;
578;1638;Barent ter Burch;Margareta Opze;Barent ter Burch & Margareta Opze;Joost Broersz;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
579;1751;Franc van der Burch;Anthonia Josina van der Goes;Franc van der Burch & Anthonia Josina van der Goes;Reinier Boitet;;Reinier Boitet ;Nicolaas van der Dussen ;Joan Bols ten Oever ;Wilhelm Musketier ;Jan Frederik Parvé ;Abraham Haverkamp ;;; ; ;;;;;;;;;;;;
580;1754;Wessel van Buren;Elisabeth Rynders;Wessel van Buren & Elisabeth Rynders;Theodorus Crajenschot;Middelburg;Sara van Buren ;Cunera van Zee ;;;;;;;;;;;;;;;;;;;;
581;1757;Rudolph de Burlett;Anna Blarie;Rudolph de Burlett & Anna Blarie;Jacobus Bosch;Amsterdam;E.M. de Burlett ;Maria de Burlett ;Adriana Jacoba de Burlett ;Anna Elizabeth Harderwyk ;Everard de Burlett de jonge;Daniël de Burlett ;Marcus Tim ;J.v.D.;N.z.;J.v.V.;Adrianus van Assendelft ;Jacobus Jaspersen Brasser ;;;;;;;;;;
582;1732;Hobbe van Burmania;Helena Amerentiana Lucia van Unia;Hobbe van Burmania & Helena Amerentiana Lucia van Unia;Tobias van Dessel;Amsterdam;Roelof Roukema ;;;;;;;;;;;;;;;;;;;;;
583;1615;Claas Adriaensz Buyk;Aaltjen Jacobsd Calven;Claas Adriaensz Buyk & Aaltjen Jacobsd Calven;Gerrit Hendricxsz van Breughel;;;;;;;;;;;;;;;;;;;;;;;
584;1697;Adriaan van Buylaard;Katharina van den Tempel;Adriaan van Buylaard & Katharina van den Tempel;Boeteman;Middelburg;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
585;1748;Pieter van Buytene;Maria van Spyk;Pieter van Buytene & Maria van Spyk;Theodorus Crajenschot;Amsterdam;J. Houtman ;;;;;;;;;;;;;;;;;;;;;
586;1758;Cornelis Caan;Maria Elisabeth Recxstoot;Cornelis Caan & Maria Elisabeth Recxstoot;Johan Bakker;Utrecht;Marinus I.T.L.G. Smytegelt ;;;;;;;;;;;;;;;;;;;;;
587;1724;Pieter Calkberner;Cornelia Rademaker;Pieter Calkberner & Cornelia Rademaker;Hendrik Bosch;Amsterdam;Hendrik Bosch ;;;;;;;;;;;;;;;;;;;;;
588;1638;Johannes Casteleyn;Geertruyd Walschaerts;Johannes Casteleyn & Geertruyd Walschaerts;Joost Broersz;Amsterdam;Jacob Leendertsz ;;;;;;;;;;;;;;;;;;;;;
589;1643;Johannes Casteleyn;Swaentjen Arents Paauw;Johannes Casteleyn & Swaentjen Arents Paauw;Vincent I Casteleyn;Amsterdam;R. van Poele ;;;;;;;;;;;;;;;;;;;;;
590;1707;George Clifford;Johanna Bouwens;George Clifford & Johanna Bouwens;Andries van Damme;;J. Danburg ;;;;;;;;;;;;;;;;;;;;;
591;1757;Cornelis Albertus Cock;Johanna Margaretha Bout;Cornelis Albertus Cock & Johanna Margaretha Bout;Theodorus Crajenschot;;Johannes Bout ;Schelte Albertse Cock ;;;;;;;;;;;;;;;;;;;;
592;1717;Jan Cockey;Judith Raillard;Jan Cockey & Judith Raillard;Hendrik Blank;Amsterdam;M. Cockey ;;;;;;;;;;;;;;;;;;;;;
593;1644;Jasper Coeymans;Elyzabeth van Soldt;Jasper Coeymans & Elyzabeth van Soldt;Joost Broersz;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
594;1688;Joannes Casparusz Commelin;Geertruid Mergelkamp;Joannes Casparusz Commelin & Geertruid Mergelkamp;Caspar Commelin;Amsterdam;Laurens Bake van Wulverhorst ;Jacobus de Vryer ;J. de Wit ;A. van den Bogaard ;Frans Ryk ;Thomas Arendsz ; ;;; ;;;;;;;;;;;;
595;1741;Petrus Conradi;Christina van der Valk;Petrus Conradi & Christina van der Valk;De Broen;Amsterdam;Johannes M.C.V.H. Schrader ;Magdalena Reen geb. Pollius ;;;;;;;;;;;;;;;;;;;;
596;1631;Hieronymus Cools;Maria Mauritius;Hieronymus Cools & Maria Mauritius;Pieter Jansz van Campen;Amsterdam;Joannes Cools ;;;;;;;;;;;;;;;;;;;;;
597;1739;Obbo Copinga;Sara Johanna Smoock;Obbo Copinga & Sara Johanna Smoock;Pieter Bandsma;Amsterdam;Henricus Gockinga ;;;;;;;;;;;;;;;;;;;;;
