0;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
25;1720;Cornelis Izaaksz van den Bogaerd;Christina Willink;Cornelis Izaaksz van den Bogaerd & Christina Willink;;Amsterdam;A. Izaaksz van den Bogaerd ;Claas Bruin ;Pieter Langendyk ;Kornelis van Koeverden ;;;;;;;;;;;;;;;;;;
26;1720;Abraham Buyssant;Catharina Des Amorie;Abraham Buyssant & Catharina Des Amorie;Joannes Oosterwyk;Amsterdam;Cornelius van Arckel ;Jacobus Boutkan ;Pieter Langendyk ;Jan Baptista Wellekens ;Claas Bruin ;Govert van Mater ;Joannes Oosterwyk ;;; ;;;;;;;;;;;;
27;1720;Christiaan van der Meulen;Geertruid Des Amorie;Christiaan van der Meulen & Geertruid Des Amorie;Hermanus van (wed) Hulkenroy;Hazerswoude;Cornelius van Arckel ;Govert van Mater ;Claas Bruin ;Aegidius van Hoven ;Aäron van Hulkenroy ;Abraham van Loon ;Pieter Langendyk ;P.V.Az;;;;;;;;;;;;;;
28;1718;Jacobus van Pesch;Dina van der Smisse;Jacobus van Pesch & Dina van der Smisse;Hendrik van de Gaete;Amsterdam;Kornelis Willemsz Westerbaen ;Claas Bruin ;Pieter Langendyk ;Chr Simonides ;Hendrik van de Gaete ;;;;;;;;;;;;;;;;;
29;1721;Malachias de La Vigne;Maria Okhuysen;Malachias de La Vigne & Maria Okhuysen;Willem Barents;Amsterdam;M. van Os ;J.S. Rosthuysen ;B. Spanseerder ;George Wetstein ;Pieter Langendyk ;;;;;;;;;;;;;;;;;
30;1726;Jan Hendriksz Waliën;Geertruit Eppenhof;Jan Hendriksz Waliën & Geertruit Eppenhof;Willem Barents;Delft;Pieter Langendyk ;H. van Lochem ;J. Waliën ;F.R.;;;;;;;;;;;;;;;;;;
31;1715;Juriaan Willink;Elizabet van Tongerlo;Juriaan Willink & Elizabet van Tongerlo;Hendrik van de Gaete;Rotterdam;H. van Lochem ;Claas Bruin ;Pieter Langendyk ;Roeland van Leuve ;Cornelis van Leuve ;Hendrik van de Gaete ;;;;;;;;;;;;;;;;
32;1721;Abraham van Limburg;Anna Giffenig;Abraham van Limburg & Anna Giffenig;;Leiden;J. van Tol ;Hendrik Fouree ;David Giffenig ;Joannes Hancock ;Johannes Hooykaas ;;;;;;;;;;;;;;;;;
33;1727;Johannes van Steelant;Johanna Elisabeth de Geer;Johannes van Steelant & Johanna Elisabeth de Geer;Reinier Boitet;Leiden;Joannes van Dam ;Hubert Kornelisz Poot ;Reinier Boitet ;;;;;;;;;;;;;;;;;;;
34;1728;Gerrit Onstenk;Maria van den Ende;Gerrit Onstenk & Maria van den Ende;;Amsterdam;Willem Onstenk ;Magdalena Mansveld ;Enoch Krook ;;;;;;;;;;;;;;;;;;;
