0;Database;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats_druk;Plaats_huwelijk;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22;Alleauteurs
2313;KB;1612.0;Dirck Pietersz Voskuyl;Aefgen Willems;Dirck Pietersz Voskuyl & Aefgen Willems;;;Rotterdam;Gerbrant Adriaensz Brederode;;;;;;;;;;;;;;;;;;;;;;Gerbrant Adriaensz Brederode
2314;KB;1612.0;Pieter Gerritz Oudt;Brechjen Jans;Pieter Gerritz Oudt & Brechjen Jans;;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1687;KB;1613.0;Jan Jacobs;Syntgen Pietersd;Jan Jacobs & Syntgen Pietersd;Adriaen (I) Roman;Haarlem;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1688;KB;1613.0;Nicolaus Mahu;Margareta Deymans;Nicolaus Mahu & Margareta Deymans;Adriaen (I) Roman;Haarlem;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
2043;KB;1613.0;Dierick Hoste;Joanna des Maistres;Dierick Hoste & Joanna des Maistres;;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
2044;KB;1613.0;Dierick Hoste;Joanna des Maistres;Dierick Hoste & Joanna des Maistres;;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
406;KB;1614.0;Gillis van den Bogaert;Cornelia Verspreet;Gillis van den Bogaert & Cornelia Verspreet;Uldrick Cornelissz Honthorst;Leiden;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
628;KB;1614.0;Jan Geurtsz;Machteltgen Claes;Jan Geurtsz & Machteltgen Claes;Gerrit Hendricxsz van Breughel;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
933;KB;1614.0;Samuel Perne;Margreta Roelandi;Samuel Perne & Margreta Roelandi;Cornelis Fransz;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
1619;KB;1614.0;Paulus Timmerman;Magdalena Camp;Paulus Timmerman & Magdalena Camp;Paulus Aertsz van Ravesteyn;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1689;KB;1614.0;Johannes Derramout;Sara Maes;Johannes Derramout & Sara Maes;Adriaen (I) Roman;Haarlem;;;;;;;;;;;;;;;;;;;;;;;;
