0;Database;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats_druk;Plaats_huwelijk;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22;Alleauteurs
1244;KB;1677.0;Pieter Haak van Hoven;Margareta Tael;Pieter Haak van Hoven & Margareta Tael;Lescailje;Amsterdam;Dordrecht;Adriaan Pars;;;;;;;;;;;;;;;;;;;;;;Adriaan Pars
1668;KB;1677.0;Jacobus Sas;Catharina Alteren;Jacobus Sas & Catharina Alteren;Johannes Ribbius;Utrecht;Amsterdam;Antonius van Schayk;;;;;;;;;;;;;;;;;;;;;;Antonius van Schayk
2132;KB;1677.0;Gillis Booner;Cornelia Brandt;Gillis Booner & Cornelia Brandt;;;Utrecht;Joannes G.L. Brandt;;;;;;;;;;;;;;;;;;;;;;Joannes G.L. Brandt
3540;STCN;1677.0;Anthony Schildering;Catharina Knodsenburg;Anthony Schildering & Catharina Knodsenburg;Hendrik Harmensz Boterenbrood;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
69;KB;1678.0;Abraham van den Ende;Hillegonda Clara Ham;Abraham van den Ende & Hillegonda Clara Ham;Boom;Amsterdam;Amsterdam;Joachim Oudaan;Govard Bidloo;;;;;;;;;;;;;;;;;;;;;Joachim Oudaan, Govard Bidloo
113;KB;1678.0;Jacob Trist;Anna van den Bogaard;Jacob Trist & Anna van den Bogaard;Cornelis Dijvoort;Gouda;Den Haag;Jacobus Kuyleman;;;;;;;;;;;;;;;;;;;;;;Jacobus Kuyleman
508;KB;1678.0;Iman Mogge;Constance Thibaut;Iman Mogge & Constance Thibaut;;;Amsterdam;Joannes Antonides van der Goes;;;;;;;;;;;;;;;;;;;;;;Joannes Antonides van der Goes
990;KB;1678.0;Tobias Slagregen;Johanna van Westerhoven;Tobias Slagregen & Johanna van Westerhoven;Geldorp;Haarlem;;;;;;;;;;;;;;;;;;;;;;;;
1119;KB;1678.0;Isaac Bernarts;Cornelia Beliaerts;Isaac Bernarts & Cornelia Beliaerts;Crispyn Hoeckwater;s-Gravenhage;;;;;;;;;;;;;;;;;;;;;;;;
1242;KB;1678.0;Abraham Vederman;Ida Gravius;Abraham Vederman & Ida Gravius;Lescailje;Amsterdam;Dordrecht;Joannes Witma;;;;;;;;;;;;;;;;;;;;;;Joannes Witma
1584;KB;1678.0;Boudewinus Cortenhovius;Theodora Meerman;Boudewinus Cortenhovius & Theodora Meerman;Jacob Dircksz Plantenburgh;Delft;Schiedam;Thomas Munckerus;;;;;;;;;;;;;;;;;;;;;;Thomas Munckerus
1586;KB;1678.0;Dirk Bogaard;Maria de Mond;Dirk Bogaard & Maria de Mond;Joost I (wed) Pluymer;Amsterdam;Moordrecht;Pieter de La Croix;Otto van Belkamp;Adriaan Bogaard;;;;;;;;;;;;;;;;;;;;Pieter de La Croix, Otto van Belkamp, Adriaan Bogaard
1670;KB;1678.0;Florentius Vlaming;Christina van Beek;Florentius Vlaming & Christina van Beek;Jan Rieuwertsz;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
1948;KB;1678.0;Iman Mogge;Constance Thibaut;Iman Mogge & Constance Thibaut;Abraham van II Waesberge;Rotterdam;Amsterdam;Dirk Buisero;;;;;;;;;;;;;;;;;;;;;;Dirk Buisero
1949;KB;1678.0;Joannes Antonides van der Goes;Suzanna Bormans;Joannes Antonides van der Goes & Suzanna Bormans;Abraham van II Waesberge;Rotterdam;Amsterdam;Katharina Lescailje;Laurens Bake van Wulverhorst;Govard Bidloo;Pieter Verhoek;Pieter de La Croix;David van Hoogstraten;Joan Pluimer;;;;;;;;;;;;;;;;Katharina Lescailje, Laurens Bake van Wulverhorst, Govard Bidloo, Pieter Verhoek, Pieter de La Croix, David van Hoogstraten, Joan Pluimer
2373;KB;1678.0;Mathurin Blandin de Duchesne;Christophelina Breeman;Mathurin Blandin de Duchesne & Christophelina Breeman;;;Amsterdam;Joannes van der Horst;;;;;;;;;;;;;;;;;;;;;;Joannes van der Horst
2374;KB;1678.0;Tobias Slagregen;Johanna van Westerhoven;Tobias Slagregen & Johanna van Westerhoven;;;Utrecht;;;;;;;;;;;;;;;;;;;;;;;
211;KB;1679.0;Jan Nieuwenhove;Eva Blok;Jan Nieuwenhove & Eva Blok;Johannes Dale;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
217;KB;1679.0;Gerard Rogge;Geertruit Konink;Gerard Rogge & Geertruit Konink;Johannes Dale;Amsterdam;Dordrecht;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
669;KB;1679.0;Daniel van Hoorn;Anna Hennebo;Daniel van Hoorn & Anna Hennebo;Cornelis Blommesteyn;Delft;Rotterdam;Pieter Boudery;;;;;;;;;;;;;;;;;;;;;;Pieter Boudery
1027;KB;1679.0;Arnoldus Cagias;Elisabet Bras;Arnoldus Cagias & Elisabet Bras;Herman Gerritsz van de Grave;Hoorn;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1228;KB;1679.0;Daniel van Hoorn;Anna Hennebo;Daniel van Hoorn & Anna Hennebo;Maarten van Leeuwen;Leiden;Amsterdam;Petrus Hennebo;;;;;;;;;;;;;;;;;;;;;;Petrus Hennebo
1229;KB;1679.0;Daniel van Hoorn;Anna Hennebo;Daniel van Hoorn & Anna Hennebo;Maarten van Leeuwen;Leiden;Amsterdam;Jan Copyn;;;;;;;;;;;;;;;;;;;;;;Jan Copyn
1230;KB;1679.0;Mathys van Leeuwaerden;Elisabeth Loonis Wydoogen;Mathys van Leeuwaerden & Elisabeth Loonis Wydoogen;Michiel van Leeuwen;Haarlem;Batavia/Jakarta;J. van Leeuwaerden;Anna Insma;;;;;;;;;;;;;;;;;;;;;J. van Leeuwaerden, Anna Insma
1247;KB;1679.0;Temotheus van Rofhuizen;Maria Bloodts;Temotheus van Rofhuizen & Maria Bloodts;Lescailje;Amsterdam;Rotterdam;Pieter de La Croix;;;;;;;;;;;;;;;;;;;;;;Pieter de La Croix
1432;KB;1679.0;Johan Schodt;Katarina van Jennema;Johan Schodt & Katarina van Jennema;Eelcke Symons Nauta;Leeuwarden;Wesel;;;;;;;;;;;;;;;;;;;;;;;
1835;KB;1679.0;Marten Du Floo;Elsje Rooleeuw;Marten Du Floo & Elsje Rooleeuw;Hieronymus Sweerts;Amsterdam;;Jan Copyn;;;;;;;;;;;;;;;;;;;;;;Jan Copyn
1844;KB;1679.0;Henrik Nylant;Gerbregh Holt;Henrik Nylant & Gerbregh Holt;Gerrit Tydeman;Zwolle;Amsterdam;C. Assueri;;;;;;;;;;;;;;;;;;;;;;C. Assueri
2375;KB;1679.0;Jan de Wale;Agata Vlaming;Jan de Wale & Agata Vlaming;;;Utrecht;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
2376;KB;1679.0;Marten Du Floo;Elsje Rooleeuw;Marten Du Floo & Elsje Rooleeuw;;;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
3455;STCN;1679.0;Justus van den Bogaart;Agatha de Lange;Justus van den Bogaart & Agatha de Lange;Cornelis Dijvoort;Gouda;;;;;;;;;;;;;;;;;;;;;;;;
3456;STCN;1679.0;Casparus van Royen;Cornelia van der Tocht;Casparus van Royen & Cornelia van der Tocht;Cornelis Dijvoort;Gouda;;;;;;;;;;;;;;;;;;;;;;;;
114;KB;1680.0;Gillis de Koker;Hester Liemans;Gillis de Koker & Hester Liemans;Aris Akersloot;Haarlem;Amsterdam;Jacobus Kuyleman;;;;;;;;;;;;;;;;;;;;;;Jacobus Kuyleman
1180;KB;1680.0;Wigardus à Winschooten;Cornelia Verruit;Wigardus à Winschooten & Cornelia Verruit;Johannes van de Kellenaar;Leiden;Dordrecht;Jacobus van der Brugge;Nicolaas van Wingen;G. de Haas;;;;;;;;;;;;;;;;;;;;Jacobus van der Brugge, Nicolaas van Wingen, G. de Haas
1248;KB;1680.0;Reiner Gysbertsz Fontein;Ybeltje Hermans Nauta;Reiner Gysbertsz Fontein & Ybeltje Hermans Nauta;Lescailje;Amsterdam;Amsterdam;Katharina Lescailje;Hermannus Angelkot;Joannes de Komans Canjoncle;;;;;;;;;;;;;;;;;;;;Katharina Lescailje, Hermannus Angelkot, Joannes de Komans Canjoncle
1249;KB;1680.0;Gillis de Koker;Hester Liemans;Gillis de Koker & Hester Liemans;Lescailje;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
1430;KB;1680.0;Gerard Seele;Maria Roos;Gerard Seele & Maria Roos;Isaac Naeranus;Rotterdam;Amsterdam;A. Schot;D. Schot;;;;;;;;;;;;;;;;;;;;;A. Schot, D. Schot
1579;KB;1680.0;Gillis Vermeersch;Maria Fontein;Gillis Vermeersch & Maria Fontein;Michiel (wed) Pietersz;Amsterdam;Haarlem;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
2377;KB;1680.0;Pieter Plemper;Paschasia Walaeus;Pieter Plemper & Paschasia Walaeus;;;Rotterdam;J.D. Poorter;Samuel Bosch;J. de Roy;Cornelis van der Vliet;;;;;;;;;;;;;;;;;;;J.D. Poorter, Samuel Bosch, J. de Roy, Cornelis van der Vliet
2378;KB;1680.0;Herman Gerritsz Bakker;Geertruid Longespee;Herman Gerritsz Bakker & Geertruid Longespee;;;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
3433;STCN;1680.0;Gilles de Koker;Hester Liemans;Gilles de Koker & Hester Liemans;Aris Akersloot;Haarlem;;J. Kuyleman;;;;;;;;;;;;;;;;;;;;;;J. Kuyleman
91;KB;1681.0;Antoni Blok;Agneta Blok;Antoni Blok & Agneta Blok;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
145;KB;1681.0;Josias Ingelbrechts;Maria Reyniers;Josias Ingelbrechts & Maria Reyniers;Herman Aeltsz;Amsterdam;Amsterdam;Bernard Vollenhove;;;;;;;;;;;;;;;;;;;;;;Bernard Vollenhove
880;KB;1681.0;Willem van Lier;Geertruid Anna van Wassenaar;Willem van Lier & Geertruid Anna van Wassenaar;Johannes Du Vivié;Leiden;Amsterdam;Adriaan Pars;;;;;;;;;;;;;;;;;;;;;;Adriaan Pars
892;KB;1681.0;Hendrik Bosch;Abigail Bagelaar;Hendrik Bosch & Abigail Bagelaar;Joachim van Dyck;Amsterdam;;Jac F.D.B. B.;;;;;;;;;;;;;;;;;;;;;;Jac F.D.B. B.
1011;KB;1681.0;Jan Ovaar;Peternella Mesdag;Jan Ovaar & Peternella Mesdag;Goeree;Amsterdam;Den Haag;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
1071;KB;1681.0;Johannes van der Steen;Katharina van der Heyde;Johannes van der Steen & Katharina van der Heyde;Jacobus van Hardenberg;Amsterdam;Rotterdam;Gerrit Fortgens;;;;;;;;;;;;;;;;;;;;;;Gerrit Fortgens
1121;KB;1681.0;Johannes Meerman;Anna van Groenendijck;Johannes Meerman & Anna van Groenendijck;Willem van der Hoeve;Gouda;;J. de Groot;;;;;;;;;;;;;;;;;;;;;;J. de Groot
1128;KB;1681.0;Jacobus Verbrugge;Maria Terwen;Jacobus Verbrugge & Maria Terwen;François van Hoogstraeten;Dordrecht;Amsterdam;Jan van Hoogstraten;Pieter van Bracht;François van Hoogstraeten;David van Hoogstraten;;;;;;;;;;;;;;;;;;;Jan van Hoogstraten, Pieter van Bracht, François van Hoogstraeten, David van Hoogstraten
1250;KB;1681.0;Gerard van Oosten;Anna Catharina Luyken;Gerard van Oosten & Anna Catharina Luyken;Lescailje;Amsterdam;Haarlem;Samuel Bosch;J.B.;;;;;;;;;;;;;;;;;;;;;Samuel Bosch, J.B.
1358;KB;1681.0;Isaak Du Sart;Anna Brugman;Isaak Du Sart & Anna Brugman;Albert Magnus;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
1671;KB;1681.0;David de Neufville;Agneta de Neufville;David de Neufville & Agneta de Neufville;Jan Rieuwertsz;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
1866;KB;1681.0;Gosenius van Nyendaal;Elisabeth van Velsen;Gosenius van Nyendaal & Elisabeth van Velsen;Johannes Tongerloo;s-Gravenhage;Haarlem;Caspar Brandt;Okkerus Pesser;;;;;;;;;;;;;;;;;;;;;Caspar Brandt, Okkerus Pesser
3696;STCN;1681.0;Henrik Bosch;Abigail Bagelaar;Henrik Bosch & Abigail Bagelaar;Joachim van Dyck;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
146;KB;1682.0;Joan Marissal;Anna Herseleyn;Joan Marissal & Anna Herseleyn;Aris Akersloot;Haarlem;Den Haag;;;;;;;;;;;;;;;;;;;;;;;
193;KB;1682.0;Gerbrant Hartzen;Ida Blok;Gerbrant Hartzen & Ida Blok;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
212;KB;1682.0;Jakob Noë;Elizabet Verbrugge;Jakob Noë & Elizabet Verbrugge;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
221;KB;1682.0;Joan van der Smisse;Katharina Barnaart;Joan van der Smisse & Katharina Barnaart;Boeteman;Amsterdam;Delft;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
374;KB;1682.0;Godefridus van Tongeren;Catharina Waeyer;Godefridus van Tongeren & Catharina Waeyer;;;Gouda;van Hoven;;;;;;;;;;;;;;;;;;;;;;van Hoven
991;KB;1682.0;Joan van der Smisse;Katharina Barnaart;Joan van der Smisse & Katharina Barnaart;Geldorp;Haarlem;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
992;KB;1682.0;Pieter de Wit;Magdaleene van Damme;Pieter de Wit & Magdaleene van Damme;Geldorp;Haarlem;Amsterdam;Jacobus van Santen;;;;;;;;;;;;;;;;;;;;;;Jacobus van Santen
1359;KB;1682.0;Joan Couck;Maria Provoost;Joan Couck & Maria Provoost;Albert Magnus;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
1561;KB;1682.0;Joachim van Gent;Susanna van Loon;Joachim van Gent & Susanna van Loon;Johannes van Paddenburgh;Utrecht;Amsterdam;Cornelis van Bracht;D. van Deyl;Bartholomeus van Gent;;;;;;;;;;;;;;;;;;;;Cornelis van Bracht, D. van Deyl, Bartholomeus van Gent
1942;KB;1682.0;Ernst van Reede van Amerongen;Ida Lukretia van der Beek;Ernst van Reede van Amerongen & Ida Lukretia van der Beek;Enoch de Vries;Deventer;Amsterdam;Arnold Moonen;;;;;;;;;;;;;;;;;;;;;;Arnold Moonen
2379;KB;1682.0;Albert Smit;Geertruy Heere;Albert Smit & Geertruy Heere;;;Leiden;Harmanus Gosinck;;;;;;;;;;;;;;;;;;;;;;Harmanus Gosinck
3493;STCN;1682.0;Sasbout Souburg;Antonina Moll;Sasbout Souburg & Antonina Moll;François van Hoogstraeten;Dordrecht;;;;;;;;;;;;;;;;;;;;;;;;
3494;STCN;1682.0;Adriaen van Oudenaerden;Kornelia van der Linden;Adriaen van Oudenaerden & Kornelia van der Linden;François van Hoogstraeten;Dordrecht;;;;;;;;;;;;;;;;;;;;;;;;
3707;STCN;1682.0;Leonard van Zorgen;Anna de Nys;Leonard van Zorgen & Anna de Nys;Johannes Boekholt;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
147;KB;1683.0;Jan de Wys;Catharina van Os;Jan de Wys & Catharina van Os;Lescailje;Amsterdam;;Sybrand Feitama;;;;;;;;;;;;;;;;;;;;;;Sybrand Feitama
169;KB;1683.0;David Barnaerts;Anna Keteling;David Barnaerts & Anna Keteling;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
199;KB;1683.0;Nikolaes Kops;Sara van Kazele;Nikolaes Kops & Sara van Kazele;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
200;KB;1683.0;Jan Copyn;Katarina Antwerpen;Jan Copyn & Katarina Antwerpen;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
201;KB;1683.0;Niklaes Kopyn;Maria Verschuure;Niklaes Kopyn & Maria Verschuure;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
620;KB;1683.0;Egbert Edens;Elizabet de Flines;Egbert Edens & Elizabet de Flines;Barent Bos;Rotterdam;Alkmaar;Joannes Antonides van der Goes;;;;;;;;;;;;;;;;;;;;;;Joannes Antonides van der Goes
1072;KB;1683.0;Isaac van der Styl;Anna Koerten;Isaac van der Styl & Anna Koerten;Jacobus van Hardenberg;Amsterdam;Rotterdam;;;;;;;;;;;;;;;;;;;;;;;
1080;KB;1683.0;Arnoldus Coppius;Geertje Jacobs Lastmans;Arnoldus Coppius & Geertje Jacobs Lastmans;Hendrik Harmensz;Amsterdam;Amsterdam;Everardus van der Hooght;;;;;;;;;;;;;;;;;;;;;;Everardus van der Hooght
1097;KB;1683.0;Joannes van Es;Alida van der Kercke;Joannes van Es & Alida van der Kercke;Frans Heeneman;Leiden;Amsterdam;Ph. van Zijll;;;;;;;;;;;;;;;;;;;;;;Ph. van Zijll
1196;KB;1683.0;Cornelius van der Wolff;Johanna de Man;Cornelius van der Wolff & Johanna de Man;Stoffel Jansz Kortingh;Hoorn;;;;;;;;;;;;;;;;;;;;;;;;
1251;KB;1683.0;Harmannus Amya;Catharina de Vogelaar;Harmannus Amya & Catharina de Vogelaar;Lescailje;Amsterdam;Dordrecht;Katharina Lescailje;Govard Bidloo;Michiel Elias;David Lingelbach;Samuel Bosch;C. van Ditsom;M. Adriaensz Gevelman;Pieter Verhoek;J. van Geleyn;Laurens Bake van Wulverhorst;Thomas Arendsz;;;;;;;;;;;;Katharina Lescailje, Govard Bidloo, Michiel Elias, David Lingelbach, Samuel Bosch, C. van Ditsom, M. Adriaensz Gevelman, Pieter Verhoek, J. van Geleyn, Laurens Bake van Wulverhorst, Thomas Arendsz
1379;KB;1683.0;Philippus van Byeveld;Catharina van der Meulen;Philippus van Byeveld & Catharina van der Meulen;Pieter van der Meersche;Leiden;;Rutgert Elsma;J. van der Meulen;P. van Hoorn;;;;;;;;;;;;;;;;;;;;Rutgert Elsma, J. van der Meulen, P. van Hoorn
1392;KB;1683.0;Johannes Webber;Elizabeth de Wey;Johannes Webber & Elizabeth de Wey;Christiaen Moelé;Amsterdam;Amsterdam;Elias Webber;;;;;;;;;;;;;;;;;;;;;;Elias Webber
1725;KB;1683.0;David Broers;Christina Spronck;David Broers & Christina Spronck;Gillis Joosten Saeghman;Amsterdam;Den Haag;Gerrit Fortgens;M. Broers;;;;;;;;;;;;;;;;;;;;;Gerrit Fortgens, M. Broers
1726;KB;1683.0;Michiel van Gesser;Catrina van der Styl;Michiel van Gesser & Catrina van der Styl;Gillis Joosten Saeghman;Amsterdam;;Isaac van der Styl;;;;;;;;;;;;;;;;;;;;;;Isaac van der Styl
1970;KB;1683.0;Gerrit Fortgens;Geertruid Spronck;Gerrit Fortgens & Geertruid Spronck;Abraham de I (wed) Wees;Amsterdam;Amsterdam;A. Fortgens;Michael Fortgens;;;;;;;;;;;;;;;;;;;;;A. Fortgens, Michael Fortgens
2380;KB;1683.0;Willem Blaeu;Rebekka de Flines;Willem Blaeu & Rebekka de Flines;;;Amsterdam;Govard Bidloo;;;;;;;;;;;;;;;;;;;;;;Govard Bidloo
2381;KB;1683.0;Willem Crul;Elselina van Goten;Willem Crul & Elselina van Goten;;;Amsterdam;Adriaan Pars;;;;;;;;;;;;;;;;;;;;;;Adriaan Pars
3537;STCN;1683.0;Joannes Vollenhove;Katharina Roseboom;Joannes Vollenhove & Katharina Roseboom;Hendrik Zwart;s-Gravenhage;;;;;;;;;;;;;;;;;;;;;;;;
3639;STCN;1683.0;Isaak van der Styl;Anna Koerten;Isaak van der Styl & Anna Koerten;Jacobus van Hardenberg;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
3769;STCN;1683.0;Theodorus van Bleyswyk;Amarante van der Staal;Theodorus van Bleyswyk & Amarante van der Staal;Laurens van der Wiel;Schiedam;;;;;;;;;;;;;;;;;;;;;;;;
116;KB;1684.0;Marten Fesma;Margareta van Leeuwaarden;Marten Fesma & Margareta van Leeuwaarden;Marcus Willemsz Doornick;Amsterdam;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;
191;KB;1684.0;Jan Haring;Anna van der Schuuren;Jan Haring & Anna van der Schuuren;Boeteman;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
299;KB;1684.0;Johannes de Cerff;Elisabeth Swart;Johannes de Cerff & Elisabeth Swart;;;Schiedam;W.S.;;;;;;;;;;;;;;;;;;;;;;W.S.
367;KB;1684.0;Jacob Hop (1654-1725);Izabella Hooft;Jacob Hop (1654-1725) & Izabella Hooft;Albert Magnus;Amsterdam;;Govard Bidloo;;;;;;;;;;;;;;;;;;;;;;Govard Bidloo
1129;KB;1684.0;Geeraerd Sam;Henrika Franken;Geeraerd Sam & Henrika Franken;Jan van Hoogstraten;Dordrecht;Veere;David van Hoogstraten;Jan van Hoogstraten;Cornelis van Bracht;;;;;;;;;;;;;;;;;;;;David van Hoogstraten, Jan van Hoogstraten, Cornelis van Bracht
1171;KB;1684.0;Rombout Aernouts;Cornelia van der Laen;Rombout Aernouts & Cornelia van der Laen;Jacob de (wed) Jonge;Amsterdam;Den Haag;B. Poeraat;;;;;;;;;;;;;;;;;;;;;;B. Poeraat
1252;KB;1684.0;Josua Eyssen;Anna Elisabeth Coster;Josua Eyssen & Anna Elisabeth Coster;Lescailje;Amsterdam;Amsterdam;D. Coster;;;;;;;;;;;;;;;;;;;;;;D. Coster
1601;KB;1684.0;Jacob Martini;Johanna van der Lyn;Jacob Martini & Johanna van der Lyn;Gerrit Rammazeyn;s-Gravenhage;Zutphen;R.J.A. H.V.E.P.R.;;;;;;;;;;;;;;;;;;;;;;R.J.A. H.V.E.P.R.
1836;KB;1684.0;Pieter Gryspeert;Sara Putmans;Pieter Gryspeert & Sara Putmans;Hieronymus Sweerts;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
1837;KB;1684.0;Jakobus Barnaerts;Jacomina Verhammen;Jakobus Barnaerts & Jacomina Verhammen;Hieronymus Sweerts;Amsterdam;Haarlem;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
1838;KB;1684.0;Wilhelmus Lupard;Sara Ouzeel;Wilhelmus Lupard & Sara Ouzeel;Hieronymus Sweerts;Amsterdam;Amsterdam;Dirk Schelte;;;;;;;;;;;;;;;;;;;;;;Dirk Schelte
1839;KB;1684.0;Joan de Stoppelaer;Ida de Neufville;Joan de Stoppelaer & Ida de Neufville;Hieronymus Sweerts;Amsterdam;Amsterdam;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
2382;KB;1684.0;Pieter Raket;Susanna Sennepart;Pieter Raket & Susanna Sennepart;;;;I. Raket;D. I.I. Raket;Josoas Raket;;;;;;;;;;;;;;;;;;;;I. Raket, D. I.I. Raket, Josoas Raket
2383;KB;1684.0;Jacob Hop (1654-1725);Izabella Hooft;Jacob Hop (1654-1725) & Izabella Hooft;;;;Joachim Oudaan;;;;;;;;;;;;;;;;;;;;;;Joachim Oudaan
2384;KB;1684.0;Samuel Cabeljau;Agnes van Niedeck;Samuel Cabeljau & Agnes van Niedeck;;;;Benigné;;;;;;;;;;;;;;;;;;;;;;Benigné
216;KB;1685.0;David Roeters;Anna van der Meersch;David Roeters & Anna van der Meersch;Boeteman;Amsterdam;;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
353;KB;1685.0;Antonius Ernst;Aemilia de Wall;Antonius Ernst & Aemilia de Wall;Franco Sas;Duisburg;;Johannes Nicolaas Sellius;;;;;;;;;;;;;;;;;;;;;;Johannes Nicolaas Sellius
1130;KB;1685.0;Pieter Fannius;Cornelia Baen;Pieter Fannius & Cornelia Baen;Jan van Hoogstraten;Dordrecht;Den Haag;Jan van Hoogstraten;;;;;;;;;;;;;;;;;;;;;;Jan van Hoogstraten
1253;KB;1685.0;Nicolaas Corver;Agneta Hasselaer;Nicolaas Corver & Agneta Hasselaer;Lescailje;Amsterdam;Amsterdam;Govard Bidloo;;;;;;;;;;;;;;;;;;;;;;Govard Bidloo
1254;KB;1685.0;Nicolaas Corver;Agneta Hasselaer;Nicolaas Corver & Agneta Hasselaer;Lescailje;Amsterdam;Amsterdam;Pieter de La Croix;;;;;;;;;;;;;;;;;;;;;;Pieter de La Croix
1255;KB;1685.0;Nicolaas Corver;Agneta Hasselaer;Nicolaas Corver & Agneta Hasselaer;Lescailje;Amsterdam;Amsterdam;Joan Pluimer;;;;;;;;;;;;;;;;;;;;;;Joan Pluimer
1327;KB;1685.0;Cornelis de Roovere;Dina Meerman;Cornelis de Roovere & Dina Meerman;Simon onder de Linde;Dordrecht;;Cornelis van Someren;;;;;;;;;;;;;;;;;;;;;;Cornelis van Someren
1360;KB;1685.0;Jacob ten Grootenhuis;Elisabeth de Dieu;Jacob ten Grootenhuis & Elisabeth de Dieu;Albert Magnus;Amsterdam;Amsterdam;Thomas Arendsz;;;;;;;;;;;;;;;;;;;;;;Thomas Arendsz
1448;KB;1685.0;Simon Banheining;Alida Hartsen;Simon Banheining & Alida Hartsen;Abraham Olofsz;Amsterdam;;Anthony Jansen;;;;;;;;;;;;;;;;;;;;;;Anthony Jansen
1578;KB;1685.0;Peter Sombergh;Beerta Middelsten;Peter Sombergh & Beerta Middelsten;Carel Pieman;Groningen;Amsterdam;Bernardus Sombergh;;;;;;;;;;;;;;;;;;;;;;Bernardus Sombergh
1971;KB;1685.0;Jacob ten Grootenhuis;Elisabeth de Dieu;Jacob ten Grootenhuis & Elisabeth de Dieu;Abraham de I (wed) Wees;Amsterdam;Amsterdam;Dirk Buisero;;;;;;;;;;;;;;;;;;;;;;Dirk Buisero
2385;KB;1685.0;Pieter Daniëlsz Hoorn;Maria Betrang;Pieter Daniëlsz Hoorn & Maria Betrang;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;;;
3459;STCN;1685.0;Bartholomeus Temminck;Emerentia Charles;Bartholomeus Temminck & Emerentia Charles;Cornelis Jacobsz Noenaert;Utrecht;;;;;;;;;;;;;;;;;;;;;;;;
3683;STCN;1685.0;Hieronimus Terwe;Maria van de Ryp;Hieronimus Terwe & Maria van de Ryp;Geldorp;Haarlem;;;;;;;;;;;;;;;;;;;;;;;;
3929;STCN;1685.0;Henricus Bysterus;Eliza Colyn;Henricus Bysterus & Eliza Colyn;;;;Wilhelmus Lomannus;;;;;;;;;;;;;;;;;;;;;;Wilhelmus Lomannus
134;KB;1686.0;Jan Haring;Sara Vermeersch;Jan Haring & Sara Vermeersch;Arentsz;Amsterdam;Amsterdam;I.V.B.;;;;;;;;;;;;;;;;;;;;;;I.V.B.
