0;Database;year;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats_druk;Plaats_huwelijk;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22;Alleauteurs;n-authors;firstname_bride;lastname_bride;firstname_groom;lastname_groom;firstname_printer;lastname_printer;bride_authors;groom_authors;bride_printer;groom_printer;Printer_authors;lastnameprinter_authors;bride_authors_count;groom_authors_count
273;KB;1710.0;Jan Volkerts Visscher;Hildegonda de Wilde;Jan Volkerts Visscher & Hildegonda de Wilde;Pieter van den II Berge;Amsterdam;Dordrecht;David van Hoogstraten;Pieter van den Berge;;;;;;;;;;;;;;;;;;;;;David van Hoogstraten, Pieter van den Berge;2;Hildegonda de;Wilde;Jan Volkerts;Visscher;Pieter van den II;Berge;False;False;False;False;False;True;0;0
695;KB;1710.0;Gysbert de Lange;Maria de Wilde;Gysbert de Lange & Maria de Wilde;Pieter van den II Berge;Amsterdam;Amsterdam;David van Hoogstraten;François Halma;David de Koning;Mattheus van Hoogstraten;Pieter van den II Berge;;;;;;;;;;;;;;;;;;David van Hoogstraten, François Halma, David de Koning, Mattheus van Hoogstraten, Pieter van den II Berge;5;Maria de;Wilde;Gysbert de;Lange;Pieter van den II;Berge;False;False;False;False;True;True;0;0
1022;KB;1710.0;Dirk Hagen;Anna Bleeker;Dirk Hagen & Anna Bleeker;Goeree;Amsterdam;Vlissingen;Herkules Bouman;Martinus Bodisco;Willem van der Hoeven;Claas Bruin;;;;;;;;;;;;;;;;;;;Herkules Bouman, Martinus Bodisco, Willem van der Hoeven, Claas Bruin;4;Anna;Bleeker;Dirk;Hagen;Goeree;;False;False;False;False;False;True;0;0
1306;KB;1710.0;Jacob Coesaart;Ida Arnold;Jacob Coesaart & Ida Arnold;Lescailje;Amsterdam;Voorburg;Katharina Lescailje;Gerrit Fortgens;Willem van der Hoeven;Hermanus van den Burg;Joannes Haverkamp;;;;;;;;;;;;;;;;;;Katharina Lescailje, Gerrit Fortgens, Willem van der Hoeven, Hermanus van den Burg, Joannes Haverkamp;5;Ida;Arnold;Jacob;Coesaart;Lescailje;;False;False;False;False;True;True;0;0
1308;KB;1710.0;Victor de Haan;Anna van Gesser;Victor de Haan & Anna van Gesser;Lescailje;Amsterdam;Amsterdam;Katharina Lescailje;Jan de Haan;I. Pz. de Haan;A. van der Styl;Cornelis van Eeke;Claas Bruin;;;;;;;;;;;;;;;;;Katharina Lescailje, Jan de Haan, I. Pz. de Haan, A. van der Styl, Cornelis van Eeke, Claas Bruin;6;Anna van;Gesser;Victor de;Haan;Lescailje;;False;True;False;False;True;True;0;2
2489;KB;1710.0;Thomas Joannes van de Weetering;Anna Welzing;Thomas Joannes van de Weetering & Anna Welzing;;;Amsterdam;Jan Baptista Wellekens;;;;;;;;;;;;;;;;;;;;;;Jan Baptista Wellekens;1;Anna;Welzing;Thomas Joannes van de;Weetering;;;False;False;False;False;True;True;0;0
2497;KB;1710.0;Anthonius van Oostrum;Catharina Scholten;Anthonius van Oostrum & Catharina Scholten;;;Rotterdam;Willem van der Hoeven;;;;;;;;;;;;;;;;;;;;;;Willem van der Hoeven;1;Catharina;Scholten;Anthonius van;Oostrum;;;False;False;False;False;True;True;0;0
3887;STCN;1710.0;Petrus Ghys;Mariam Bergiam;Petrus Ghys & Mariam Bergiam;;;;Hendrik Snakenburg;;;;;;;;;;;;;;;;;;;;;;Hendrik Snakenburg;1;Mariam;Bergiam;Petrus;Ghys;;;False;False;False;False;True;True;0;0
3933;STCN;1710.0;Anthoni van Oostrum;Catharina Scholten;Anthoni van Oostrum & Catharina Scholten;;;;Willem van der Hoeven;;;;;;;;;;;;;;;;;;;;;;Willem van der Hoeven;1;Catharina;Scholten;Anthoni van;Oostrum;;;False;False;False;False;True;True;0;0
296;KB;1711.0;Lodewyk van Dam;Agatha de Bye;Lodewyk van Dam & Agatha de Bye;;;Amsterdam;Johan Steengracht;Hendrik Snakenburg;;;;;;;;;;;;;;;;;;;;;Johan Steengracht, Hendrik Snakenburg;2;Agatha de;Bye;Lodewyk van;Dam;;;False;False;False;False;True;True;0;0
481;KB;1711.0;Gilbert de Flines;Susanna Elisabeth Du Pré;Gilbert de Flines & Susanna Elisabeth Du Pré;Hendrik van de Gaete;Amsterdam;Den Haag;Jan Frederik Teeckman;Hendrik van de Gaete;Ludolph Smids;Daniel Willink;Hermannus Angelkot;F.V.W.;P.A.;I.E.F.;;;;;;;;;;;;;;;Jan Frederik Teeckman, Hendrik van de Gaete, Ludolph Smids, Daniel Willink, Hermannus Angelkot, F.V.W., P.A., I.E.F.;8;Susanna Elisabeth Du;Pré;Gilbert de;Flines;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
934;KB;1711.0;Coenraad Groenewoud;Aaltje Genis;Coenraad Groenewoud & Aaltje Genis;Hendrik van de Gaete;Amsterdam;Haarlem;Hendrik van de Gaete;Elisabet Groenewoud;;;;;;;;;;;;;;;;;;;;;Hendrik van de Gaete, Elisabet Groenewoud;2;Aaltje;Genis;Coenraad;Groenewoud;Hendrik van de;Gaete;False;True;False;False;True;True;0;1
939;KB;1711.0;Gerrit Konynenberg;Maria Ritter;Gerrit Konynenberg & Maria Ritter;Hendrik van de Gaete;Amsterdam;Velsen;N. van Helderenberg;Hendrik van de Gaete;;;;;;;;;;;;;;;;;;;;;N. van Helderenberg, Hendrik van de Gaete;2;Maria;Ritter;Gerrit;Konynenberg;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
941;KB;1711.0;David Rutgers (1682-1757);Maria de Neufville;David Rutgers (1682-1757) & Maria de Neufville;Hendrik van de Gaete;Amsterdam;;Hendrik van de Gaete;Ludolph Smids;Jan Baptista Wellekens;Willem van der Hoeven;Daniel Rutgers;Gilbert de Flines;;;;;;;;;;;;;;;;;Hendrik van de Gaete, Ludolph Smids, Jan Baptista Wellekens, Willem van der Hoeven, Daniel Rutgers, Gilbert de Flines;6;Maria de;Neufville;David Rutgers;(1682-1757);Hendrik van de;Gaete;False;False;False;False;True;True;0;0
943;KB;1711.0;Gerard van Heyningen;Elisabeth de Clercq;Gerard van Heyningen & Elisabeth de Clercq;Hendrik van de Gaete;Amsterdam;Zierikzee;Ludolph Smids;Jan Baptista Wellekens;Willem van der Hoeven;Claas Bruin;Hendrik van de Gaete;Jan Geldorp;Martinus Bodisco;;;;;;;;;;;;;;;;Ludolph Smids, Jan Baptista Wellekens, Willem van der Hoeven, Claas Bruin, Hendrik van de Gaete, Jan Geldorp, Martinus Bodisco;7;Elisabeth de;Clercq;Gerard van;Heyningen;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
944;KB;1711.0;Pieter Anderson;Clara d' Amour;Pieter Anderson & Clara d' Amour;Hendrik van de Gaete;Amsterdam;Amsterdam;Hendrik van de Gaete;L.B.;;;;;;;;;;;;;;;;;;;;;Hendrik van de Gaete, L.B.;2;Clara d';Amour;Pieter;Anderson;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
1310;KB;1711.0;Gualterus de Raad;Anna Maria Muilman;Gualterus de Raad & Anna Maria Muilman;Lescailje;Amsterdam;Amsterdam;Hendrik Snakenburg;;;;;;;;;;;;;;;;;;;;;;Hendrik Snakenburg;1;Anna Maria;Muilman;Gualterus de;Raad;Lescailje;;False;False;False;False;False;True;0;0
1462;KB;1711.0;Jacob Sintefoi;Geertruid van Middelandt;Jacob Sintefoi & Geertruid van Middelandt;Johannes van Oosterwyk;Amsterdam;Haarlem;Johannes van Oosterwyk;Pieter van den Berge;Mattheus van Hoogstraten;Claas Bruin;Anthony Koppenol;;;;;;;;;;;;;;;;;;Johannes van Oosterwyk, Pieter van den Berge, Mattheus van Hoogstraten, Claas Bruin, Anthony Koppenol;5;Geertruid van;Middelandt;Jacob;Sintefoi;Johannes van;Oosterwyk;False;False;False;False;True;True;0;0
1712;KB;1711.0;Jacob Aarnoudsz van Lennep;Petronella de Neufville;Jacob Aarnoudsz van Lennep & Petronella de Neufville;Jacob van Royen;Amsterdam;Amsterdam;Ludolph Smids;Gerrit Fortgens;Jan Baptista Wellekens;Daniel Rutgers;Claas Bruin;Arnold Houbraken;Gilbert de Flines;;;;;;;;;;;;;;;;Ludolph Smids, Gerrit Fortgens, Jan Baptista Wellekens, Daniel Rutgers, Claas Bruin, Arnold Houbraken, Gilbert de Flines;7;Petronella de;Neufville;Jacob Aarnoudsz van;Lennep;Jacob van;Royen;False;False;False;False;False;False;0;0
1923;KB;1711.0;Leonard van Velsen;Anna Vorsterman;Leonard van Velsen & Anna Vorsterman;Barent Visscher;Amsterdam;Amsterdam;J. Fortgens;Claas Bruin;Evert Visscher;;;;;;;;;;;;;;;;;;;;J. Fortgens, Claas Bruin, Evert Visscher;3;Anna;Vorsterman;Leonard van;Velsen;Barent;Visscher;False;False;False;False;False;True;0;0
2504;KB;1711.0;Jan Geldorp;Maria van Limburg;Jan Geldorp & Maria van Limburg;;;Amsterdam;Joannes Houbakker;Claas Bruin;Martinus Bodisco;;;;;;;;;;;;;;;;;;;;Joannes Houbakker, Claas Bruin, Martinus Bodisco;3;Maria van;Limburg;Jan;Geldorp;;;False;False;False;False;True;True;0;0
2511;KB;1711.0;Jan Clicquet;Maria Welzing;Jan Clicquet & Maria Welzing;;;Rotterdam;Pieter Anthony de Huybert;Jan Baptista Wellekens;Daniel Willink;Jacob Voordaag;M. Oosterland;;;;;;;;;;;;;;;;;;Pieter Anthony de Huybert, Jan Baptista Wellekens, Daniel Willink, Jacob Voordaag, M. Oosterland;5;Maria;Welzing;Jan;Clicquet;;;False;False;False;False;True;True;0;0
3983;Steur;1711.0;Marinus Oudenaarde;Magdalena van der Laan;Marinus Oudenaarde & Magdalena van der Laan;;;;Claas Bruin;Willem van der Hoeven;Martinus Bodisco;;;;;;;;;;;;;;;;;;;;Claas Bruin, Willem van der Hoeven, Martinus Bodisco;3;Magdalena van der;Laan;Marinus;Oudenaarde;;;False;False;False;False;True;True;0;0
15;KB;1712.0;Jacobus Boutkan;Hester van der Kindert;Jacobus Boutkan & Hester van der Kindert;Goeree;Amsterdam;Rotterdam;Jan Baptista Wellekens;Jakob Zeeus;Frans Greenwood;A. van Sleyden;Abraham Peyster;;;;;;;;;;;;;;;;;;Jan Baptista Wellekens, Jakob Zeeus, Frans Greenwood, A. van Sleyden, Abraham Peyster;5;Hester van der;Kindert;Jacobus;Boutkan;Goeree;;False;False;False;False;False;True;0;0
518;KB;1712.0;Anthony Rooleeuw;Anna de Wilde;Anthony Rooleeuw & Anna de Wilde;;;Amsterdam;David van Hoogstraten;Pieter van den Berge;;;;;;;;;;;;;;;;;;;;;David van Hoogstraten, Pieter van den Berge;2;Anna de;Wilde;Anthony;Rooleeuw;;;False;False;False;False;True;True;0;0
945;KB;1712.0;Dirk van der Schelling;Anna Schryver;Dirk van der Schelling & Anna Schryver;Hendrik van de Gaete;Amsterdam;Amsterdam;Pieter Langendyk;Hendrik van de Gaete;Pieter Adriaensz Verwer;J. Resanschavinum Boncq;;;;;;;;;;;;;;;;;;;Pieter Langendyk, Hendrik van de Gaete, Pieter Adriaensz Verwer, J. Resanschavinum Boncq;4;Anna;Schryver;Dirk van der;Schelling;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
946;KB;1712.0;François van Harencarspel;Anna Apolonia Looten;François van Harencarspel & Anna Apolonia Looten;Hendrik van de Gaete;Amsterdam;Amsterdam;Pieter Anthony de Huybert;Adriaan Hoppestein;Hendrik van de Gaete;;;;;;;;;;;;;;;;;;;;Pieter Anthony de Huybert, Adriaan Hoppestein, Hendrik van de Gaete;3;Anna Apolonia;Looten;François van;Harencarspel;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
947;KB;1712.0;Abraham Barnaart;Elisabeth van der Hoef;Abraham Barnaart & Elisabeth van der Hoef;Hendrik van de Gaete;Amsterdam;Amsterdam;Hendrik van de Gaete;Joannes Houbakker;Jan Geldorp;Claas Bruin;;;;;;;;;;;;;;;;;;;Hendrik van de Gaete, Joannes Houbakker, Jan Geldorp, Claas Bruin;4;Elisabeth van der;Hoef;Abraham;Barnaart;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
948;KB;1712.0;Roelof Veening;Hendrina Thin;Roelof Veening & Hendrina Thin;Hendrik van de Gaete;Amsterdam;Rotterdam;Kornelis Jongerhelt;T. van Sadelhof;Izak Thin;Gerrit Veening;Hendrik van de Gaete;;;;;;;;;;;;;;;;;;Kornelis Jongerhelt, T. van Sadelhof, Izak Thin, Gerrit Veening, Hendrik van de Gaete;5;Hendrina;Thin;Roelof;Veening;Hendrik van de;Gaete;True;True;False;False;True;True;1;1
2515;KB;1712.0;Dirk van der Meer;Debora Elias;Dirk van der Meer & Debora Elias;;;;Joan Pluimer;Jan Baptista Wellekens;Jan van Vliet;Jan Graauwhart;;;;;;;;;;;;;;;;;;;Joan Pluimer, Jan Baptista Wellekens, Jan van Vliet, Jan Graauwhart;4;Debora;Elias;Dirk van der;Meer;;;False;False;False;False;True;True;0;0
2520;KB;1712.0;Jan van den Bosch;Susanna Hobrink;Jan van den Bosch & Susanna Hobrink;;;;Jan Baptista Wellekens;P. van den Bosch;Martinus Bodisco;;;;;;;;;;;;;;;;;;;;Jan Baptista Wellekens, P. van den Bosch, Martinus Bodisco;3;Susanna;Hobrink;Jan van den;Bosch;;;False;True;False;False;True;True;0;1
2521;KB;1712.0;Adriaan van Loon;Apollonia Looten;Adriaan van Loon & Apollonia Looten;;;Amsterdam;Jan Baptista Wellekens;;;;;;;;;;;;;;;;;;;;;;Jan Baptista Wellekens;1;Apollonia;Looten;Adriaan van;Loon;;;False;False;False;False;True;True;0;0
3975;Steur;1712.0;Willem van Laar;Livina van Coppenoll;Willem van Laar & Livina van Coppenoll;Goeree;Amsterdam;;Claas Bruin;;;;;;;;;;;;;;;;;;;;;;Claas Bruin;1;Livina van;Coppenoll;Willem van;Laar;Goeree;;False;False;False;False;False;True;0;0
434;KB;1713.0;Joannes Trip;Elisabeth Tielens;Joannes Trip & Elisabeth Tielens;;;Den Haag;David van Hoogstraten;;;;;;;;;;;;;;;;;;;;;;David van Hoogstraten;1;Elisabeth;Tielens;Joannes;Trip;;;False;False;False;False;True;True;0;0
949;KB;1713.0;Michiel Slagregen;Maria Crajesteyn;Michiel Slagregen & Maria Crajesteyn;Hendrik van de Gaete;Amsterdam;Dirksland;Hendrik van de Gaete;Jan Baptista Wellekens;Claas Bruin;Jan Geldorp;Pieter Langendyk;A. Benoorden;Willem van der Hoeven;Martinus Bodisco;;;;;;;;;;;;;;;Hendrik van de Gaete, Jan Baptista Wellekens, Claas Bruin, Jan Geldorp, Pieter Langendyk, A. Benoorden, Willem van der Hoeven, Martinus Bodisco;8;Maria;Crajesteyn;Michiel;Slagregen;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
950;KB;1713.0;Jacob Murison;Elizabeth Hoffham;Jacob Murison & Elizabeth Hoffham;Hendrik van de Gaete;Amsterdam;Amsterdam;Abraham West;De Deksel;Jacob (Jr) Raket;Hendrik van de Gaete;;;;;;;;;;;;;;;;;;;Abraham West, De Deksel, Jacob (Jr) Raket, Hendrik van de Gaete;4;Elizabeth;Hoffham;Jacob;Murison;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
951;KB;1713.0;Leonard Lups;Cornelia Rutgers;Leonard Lups & Cornelia Rutgers;Hendrik van de Gaete;Amsterdam;Amsterdam;Ludolph Smids;Gerrit Fortgens;Claas Bruin;Martinus Bodisco;Hendrik van de Gaete;J.D.;;;;;;;;;;;;;;;;;Ludolph Smids, Gerrit Fortgens, Claas Bruin, Martinus Bodisco, Hendrik van de Gaete, J.D.;6;Cornelia;Rutgers;Leonard;Lups;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
952;KB;1713.0;Hendrik Kops;Magdalena Teyler;Hendrik Kops & Magdalena Teyler;Hendrik van de Gaete;Amsterdam;Groningen;Jan Baptista Wellekens;Hendrik van de Gaete;Daniel Willink;Pieter Langendyk;J. van Wassen;Martinus Bodisco;H.V.B.;;;;;;;;;;;;;;;;Jan Baptista Wellekens, Hendrik van de Gaete, Daniel Willink, Pieter Langendyk, J. van Wassen, Martinus Bodisco, H.V.B.;7;Magdalena;Teyler;Hendrik;Kops;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
953;KB;1713.0;Abraham Wynands;Cornelia Vincent;Abraham Wynands & Cornelia Vincent;Hendrik van de Gaete;Amsterdam;Amsterdam;Martinus Bodisco;Willem van der Hoeven;Hendrik van de Gaete;;;;;;;;;;;;;;;;;;;;Martinus Bodisco, Willem van der Hoeven, Hendrik van de Gaete;3;Cornelia;Vincent;Abraham;Wynands;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
1331;KB;1713.0;Jan Corver;Sara Maria Trip;Jan Corver & Sara Maria Trip;Gerard onder de Linden;Amsterdam;;David van Hoogstraten;;;;;;;;;;;;;;;;;;;;;;David van Hoogstraten;1;Sara Maria;Trip;Jan;Corver;Gerard onder de;Linden;False;False;False;False;False;False;0;0
1332;KB;1713.0;Geeraert Kasparsz Brandt;Kornelia van Rixtel;Geeraert Kasparsz Brandt & Kornelia van Rixtel;Gerard onder de Linden;Amsterdam;Den Haag;David van Hoogstraten;;;;;;;;;;;;;;;;;;;;;;David van Hoogstraten;1;Kornelia van;Rixtel;Geeraert Kasparsz;Brandt;Gerard onder de;Linden;False;False;False;False;False;False;0;0
2033;KB;1713.0;Hendrik Verryn;Geertruid van Wieringen;Hendrik Verryn & Geertruid van Wieringen;;;Amsterdam;Wilhelmus Lomannus;Paulus Hendriksz Verryn;Claas Bruin;;;;;;;;;;;;;;;;;;;;Wilhelmus Lomannus, Paulus Hendriksz Verryn, Claas Bruin;3;Geertruid van;Wieringen;Hendrik;Verryn;;;False;True;False;False;True;True;0;1
2054;KB;1713.0;Willem Cramer;Maria Vermeulen;Willem Cramer & Maria Vermeulen;;;'s-Graveland;Willem van der Hoeven;;;;;;;;;;;;;;;;;;;;;;Willem van der Hoeven;1;Maria;Vermeulen;Willem;Cramer;;;False;False;False;False;True;True;0;0
2055;KB;1713.0;Hendrik Hagen;Anna van Anklam;Hendrik Hagen & Anna van Anklam;;;'s-Graveland;Pieter Langendyk;;;;;;;;;;;;;;;;;;;;;;Pieter Langendyk;1;Anna van;Anklam;Hendrik;Hagen;;;False;False;False;False;True;True;0;0
2527;KB;1713.0;Adriaan onder de Linden;Antonia Verhoeff;Adriaan onder de Linden & Antonia Verhoeff;;;Leiden;David van Hoogstraten;Tielman van Bracht;Arnold Hoogvliet;;;;;;;;;;;;;;;;;;;;David van Hoogstraten, Tielman van Bracht, Arnold Hoogvliet;3;Antonia;Verhoeff;Adriaan onder de;Linden;;;False;False;False;False;True;True;0;0
2533;KB;1713.0;Adriaan van Malsen;Hillegonda van Heyningen;Adriaan van Malsen & Hillegonda van Heyningen;;;Broek in Waterland;Claas Bruin;Martinus Bodisco;Hendrik van de Gaete;Joannes Haverkamp;A. Claver;Willem van der Hoeven;;;;;;;;;;;;;;;;;Claas Bruin, Martinus Bodisco, Hendrik van de Gaete, Joannes Haverkamp, A. Claver, Willem van der Hoeven;6;Hillegonda van;Heyningen;Adriaan van;Malsen;;;False;False;False;False;True;True;0;0
3966;Steur;1713.0;Cornelis van Tongerlo;Johanna Vermeersch;Cornelis van Tongerlo & Johanna Vermeersch;Johannes van Oosterwyk;Amsterdam;;Claas Bruin;W.F.H. v. A.;Roeland van Leuven;Johannes van Oosterwyk;;;;;;;;;;;;;;;;;;;Claas Bruin, W.F.H. v. A., Roeland van Leuven, Johannes van Oosterwyk;4;Johanna;Vermeersch;Cornelis van;Tongerlo;Johannes van;Oosterwyk;False;False;False;False;True;True;0;0
279;KB;1714.0;Jan van Lankom;Christina Benthem;Jan van Lankom & Christina Benthem;;;;Willem van der Hoeven;Abraham van Lankom;Hendrik van de Gaete;Johannes van Oosterwyk;;;;;;;;;;;;;;;;;;;Willem van der Hoeven, Abraham van Lankom, Hendrik van de Gaete, Johannes van Oosterwyk;4;Christina;Benthem;Jan van;Lankom;;;False;True;False;False;True;True;0;1
382;KB;1714.0;Hendrik ten Kate;Christina ten Kate;Hendrik ten Kate & Christina ten Kate;Hendrik van de Gaete;Amsterdam;Amsterdam;Daniel Willink;Claas Bruin;Martinus Bodisco;Daniel de Vos;Hendrik van de Gaete;;;;;;;;;;;;;;;;;;Daniel Willink, Claas Bruin, Martinus Bodisco, Daniel de Vos, Hendrik van de Gaete;5;Christina ten;Kate;Hendrik ten;Kate;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
458;KB;1714.0;Gerrit Schoemaker;Margareta Esser;Gerrit Schoemaker & Margareta Esser;Hendrik van de Gaete;Amsterdam;;Anthony Koppenol;Pieter Hoogenbergh;Claas Bruin;Pieter Langendyk;Hendrik van de Gaete;;;;;;;;;;;;;;;;;;Anthony Koppenol, Pieter Hoogenbergh, Claas Bruin, Pieter Langendyk, Hendrik van de Gaete;5;Margareta;Esser;Gerrit;Schoemaker;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
935;KB;1714.0;Egbert Thesingh;Eletta van de Ryp;Egbert Thesingh & Eletta van de Ryp;Hendrik van de Gaete;Amsterdam;;Jan Baptista Wellekens;Pieter Vlaming;Claas Bruin;Martinus Bodisco;Hendrik van de Gaete;Jan Goeree;;;;;;;;;;;;;;;;;Jan Baptista Wellekens, Pieter Vlaming, Claas Bruin, Martinus Bodisco, Hendrik van de Gaete, Jan Goeree;6;Eletta van de;Ryp;Egbert;Thesingh;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
954;KB;1714.0;Pieter van Poot;Cornelia Vry;Pieter van Poot & Cornelia Vry;Hendrik van de Gaete;Amsterdam;Amsterdam;Abraham van Limburg;Isaac Thomasz Delcourt;Hendrik van de Gaete;Hendrik van Poot;;;;;;;;;;;;;;;;;;;Abraham van Limburg, Isaac Thomasz Delcourt, Hendrik van de Gaete, Hendrik van Poot;4;Cornelia;Vry;Pieter van;Poot;Hendrik van de;Gaete;False;True;False;False;True;True;0;1
955;KB;1714.0;Jacob de Haan;Anna van Gelder;Jacob de Haan & Anna van Gelder;Hendrik van de Gaete;Amsterdam;Amsterdam;Hendrik van de Gaete;Ludolph Smids;Jan Baptista Wellekens;Wessel Kluppel;Claas Bruin;Abraham West;Pieter Langendyk;Gilbert de Flines;;;;;;;;;;;;;;;Hendrik van de Gaete, Ludolph Smids, Jan Baptista Wellekens, Wessel Kluppel, Claas Bruin, Abraham West, Pieter Langendyk, Gilbert de Flines;8;Anna van;Gelder;Jacob de;Haan;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
956;KB;1714.0;Johannes Nagel;Agneta Elisabeth Veltkamp;Johannes Nagel & Agneta Elisabeth Veltkamp;Hendrik van de Gaete;Amsterdam;;Hendrik van de Gaete;Claas Bruin;Pieter Langendyk;A. Tros;;;;;;;;;;;;;;;;;;;Hendrik van de Gaete, Claas Bruin, Pieter Langendyk, A. Tros;4;Agneta Elisabeth;Veltkamp;Johannes;Nagel;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
958;KB;1714.0;Gerrit Schoemaker;Margareta Esser;Gerrit Schoemaker & Margareta Esser;Hendrik van de Gaete;Amsterdam;Amsterdam;Ludolph Smids;Claas Bruin;Anthony Koppenol;Pieter Straat;Pieter Langendyk;Hendrik van de Gaete;P.H.B.H.;;;;;;;;;;;;;;;;Ludolph Smids, Claas Bruin, Anthony Koppenol, Pieter Straat, Pieter Langendyk, Hendrik van de Gaete, P.H.B.H.;7;Margareta;Esser;Gerrit;Schoemaker;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
959;KB;1714.0;Frans van Steenwyk;Judith ten Kate;Frans van Steenwyk & Judith ten Kate;Hendrik van de Gaete;Amsterdam;Amsterdam;Hendrik van de Gaete;Pieter Langendyk;P. van Dam;Mozes van Hulkenroy;Aäron van Hulkenroy;;;;;;;;;;;;;;;;;;Hendrik van de Gaete, Pieter Langendyk, P. van Dam, Mozes van Hulkenroy, Aäron van Hulkenroy;5;Judith ten;Kate;Frans van;Steenwyk;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
960;KB;1714.0;Pieter Lups;Margareta Kops;Pieter Lups & Margareta Kops;Hendrik van de Gaete;Amsterdam;Amsterdam;Ludolph Smids;Claas Bruin;Izaak van der Vinne;C.B.;Jan Geldorp;Pieter Langendyk;Hendrik van de Gaete;J.D.;;;;;;;;;;;;;;;Ludolph Smids, Claas Bruin, Izaak van der Vinne, C.B., Jan Geldorp, Pieter Langendyk, Hendrik van de Gaete, J.D.;8;Margareta;Kops;Pieter;Lups;Hendrik van de;Gaete;False;False;False;False;True;True;0;0
961;KB;1714.0;Michiel Bruynvis;Anna Bruynvis;Michiel Bruynvis & Anna Bruynvis;Hendrik van de Gaete;Amsterdam;;Hendrik van de Gaete;Ysbrand Ysbrandsz Vincent;Bartholomeus Bruynvis;Pieter Langendyk;;;;;;;;;;;;;;;;;;;Hendrik van de Gaete, Ysbrand Ysbrandsz Vincent, Bartholomeus Bruynvis, Pieter Langendyk;4;Anna;Bruynvis;Michiel;Bruynvis;Hendrik van de;Gaete;True;True;False;False;True;True;1;1
1333;KB;1714.0;Paulus Snellen;Margareta Geertruda van Beeck;Paulus Snellen & Margareta Geertruda van Beeck;Gerard onder de Linden;Amsterdam;Amsterdam;David van Hoogstraten;Jan Baptista Wellekens;;;;;;;;;;;;;;;;;;;;;David van Hoogstraten, Jan Baptista Wellekens;2;Margareta Geertruda van;Beeck;Paulus;Snellen;Gerard onder de;Linden;False;False;False;False;False;False;0;0
1424;KB;1714.0;Andries Oortman;Catharina Linnich van Koppenol;Andries Oortman & Catharina Linnich van Koppenol;Gerrit Muntendam;Utrecht;Rotterdam;Ludolph Smids;Jan Baptista Wellekens;Jan Geldorp;Dirk Smout;Henrik van der Marck;Willem Koolenkamp;Dionys Oortman;;;;;;;;;;;;;;;;Ludolph Smids, Jan Baptista Wellekens, Jan Geldorp, Dirk Smout, Henrik van der Marck, Willem Koolenkamp, Dionys Oortman;7;Catharina Linnich van;Koppenol;Andries;Oortman;Gerrit;Muntendam;False;True;False;False;False;False;0;1
1463;KB;1714.0;Cornelis Vestenburgh;Agatha Ida Vederman;Cornelis Vestenburgh & Agatha Ida Vederman;Johannes van Oosterwyk;Amsterdam;Amsterdam;Abraham Bógaert;Jan van Ruster;Johannes van Oosterwyk;;;;;;;;;;;;;;;;;;;;Abraham Bógaert, Jan van Ruster, Johannes van Oosterwyk;3;Agatha Ida;Vederman;Cornelis;Vestenburgh;Johannes van;Oosterwyk;False;False;False;False;True;True;0;0
2285;KB;1714.0;Jan van Wieringen;Amarante Meermans;Jan van Wieringen & Amarante Meermans;;;Amsterdam;Wilhelmus Lomannus;Claas Bruin;Jacob Voordaag;Paulus Hendriksz Verryn;;;;;;;;;;;;;;;;;;;Wilhelmus Lomannus, Claas Bruin, Jacob Voordaag, Paulus Hendriksz Verryn;4;Amarante;Meermans;Jan van;Wieringen;;;False;False;False;False;True;True;0;0
2542;KB;1714.0;Jan Wandelaar;Elisabeth Smit;Jan Wandelaar & Elisabeth Smit;;;;Jan van Hoogstraten;François Jansz van Hoogstraten;Pieter Langendyk;Hendrik van de Gaete;Gerardus Kempher;;;;;;;;;;;;;;;;;;Jan van Hoogstraten, François Jansz van Hoogstraten, Pieter Langendyk, Hendrik van de Gaete, Gerardus Kempher;5;Elisabeth;Smit;Jan;Wandelaar;;;False;False;False;False;True;True;0;0
