Wor & Onder de Linden	2
Hendrik II Bruyn	2
Thomas Basson	2
Daniel Oostendorp	2
Hendrik Boussiere	2
Abraham Biestkens	2
Jacobus Noenaert	2
Felix Lopez de Haro	2
Evert Visscher	2
Gerardus (I) Borstius	2
Herman Theunisz Kranepoel	2
Jacob (II) Sipkes	2
Hendrick Jansz Visscher	2
Felix Lopez De Haro	2
Frans Houttuyn	2
Wilhem Linnig van Koppenol	2
Abraham (wed) Strander	2
Floris Schouten	2
Willeboord Eling	2
Isaac Naeranus	2
Isaac Elzevier	2
Franciscus Hackius	2
Hendrick Rintjes	2
Abraham Verhoef	2
Herman Hardenberg	2
Frederik Haaring	2
Frederik Klinkhamer	2
Henrick Lodewijcxsz van Haestens	2
Jacobus Meul	2
Hermanus Herts	2
Jacobus Borstius	2
Hendrik van Monnem	2
Abraham van Essen	2
Elbert Beukelman	2
Govert Basson	2
Elzevier	2
Jacob Konijnenbergh	2
Endenburgh	2
Hajo Spandaw	2
Frederik Schotsman	2
Enoch de Vries	2
Hendrik Blank	2
Hans van der Hellen	2
Abraham I Kallewier	2
Zacharias van Poelje	2
Joris Abrahamsz van der Marsce	2
Casparus (wed) Cotius	2
Bernardus van Gerrevink	2
Johannes van Eyk	2
Johannes Tongerloo	2
Adriaan Slaats	2
Johannes Roovers	2
Mozes van Hulkenroy	2
Pieter von Selov	2
Severyn Matthysz	2
Pieter vander Meersche	2
Nicolaas Smit	2
Johannes I Hofhout	2
Anzelmus Muntendam	2
Kroon	2
Carel Niellius	2
Pieter van der Meersche	2
Aelbrecht Hendricksz	2
Simon Cornelisz Brekegeest	2
Johannes van Septeren	2
Adriaan van Dyck	2
Robert Blokland	2
Jurjen Spandaw	2
Aäron van II Poulle	2
Koenraat Lubeek	2
Keur Gijsbert de Groot	2
Justus van Lotten	2
Louis Davidsz Taillefert	2
R.J. Noordbeek	2
Barent Paats	2
Reinier Leers	2
Matthijs I (wed) Wagens	2
Marten Schagen	2
Martinus Petzold	2
Aris Tolk	2
Mattheus van Nispen	2
Benedictus Greydanus	2
Matthijs Bastiaensz	2
Adriaen Vlacq	2
Paulus (erven) Matthijsz	2
Aäron van Hulkenroy	2
Pieter Jansz Slijp	2
Jan van Stendel	2
Pieter Joosten Messchaert	2
Stoffel Jansz Kortingh	2
Pieter Koumans	2
Joachim van Dyck	2
Joannes Boucart	2
Abraham van der II Putte	2
Casparus Lootsman	2
Joannes Naeranus	2
Pieter Janssoon van der II Aa	2
Anthony Hoorens	2
Andries (wed) Castricum	2
Philippus Losel	2
Jan ten Houten	2
Cornelis Jansz	2
Alexander Haensbergh	2
Jan van II Waesberge	2
Christiaen Moelé	2
Jan Spanseerder	2
Jan Willem de Groot	2
Pieter de (wed) Coup	2
Claes Albertsz Haen	2
Anthony Tielemans	2
Christoffel II Doll	2
Christoffel Guyot	2
Albert Evertsz Visscher	2
Johannes (I) Stichter	2
Asuerus van I Goor	1
Assuerus Lansvelt	1
Frederik van (wed) Metelen	1
Adrianus Severinus van Adelhoorn	1
Abraham Olofsz	1
Frederik van Metelen	1
Arnold van den Eynden	1
Alexander Jansz Lintman	1
Arnoldus van den Eynden	1
Gerardus van Hattum	1
Gabriel de Roy	1
Gerrit Harmansz	1
Anthony de Winter	1
Anthony van Heusden	1
Gerard van Wyen	1
Aernout Timmermans	1
Gerret van Leeuwen	1
Antoine (erven) Schelte	1
Arend Hennebo	1
Abraham Boekholt	1
Anthony Schoonhoven	1
Andries Stanhoffius	1
Arent (wed) Rampen	1
Arent Gerritsz van den Heuvel	1
Anthony Outgers	1
Gerrit Kuyper	1
Abraham II Rubert	1
Arent Hennebo	1
Gabriël Clement	1
Gerrit Noordbeek	1
Anthony van Rijschooten	1
Cornelis Lodewijkcksz van der Plasse	1
François Michel Crespin	1
Daniel van den Dalen	1
Dirk Rampen	1
Caspar Böhm Fritsch	1
Dirck Schouten	1
Abraham van Herwijck	1
Caspar Commelin	1
Dirck Bockhoven	1
Christiaan Menssendyk	1
Abraham van Hoogenhuysen	1
Abraham van Laren	1
Claude Fonteyne	1
David Jansz van Ilpendam	1
Daniel van der Spyk	1
Daniel van Damme	1
Dominicus Josephus de Haan	1
Cornelis (wed en zoon) Boutesteyn	1
Adam Meerkamp	1
Abram Witbols	1
Cornelis Blommesteyn	1
Daniel Goetval	1
Daniel Bakkamude	1
Albertus Fronten	1
Crispyn Hoeckwater	1
