id;label;function;year;place_print
104;Abraham Inses & Willemyna Stok;Bruidspaar;1693.0;
105;Dirk Rutgers & Catharina de Neufville;Bruidspaar;1693.0;
106;Florentius Croon;Auteur;;
107;Gerrit Fortgens;Auteur;;
108;Kornelis van Builard & Maria van Blenkvlied;Bruidspaar;1693.0;
109;Abraham Blaaupot & Elisabeth Bruin;Bruidspaar;1694.0;
110;Joan van Woensel & Margareta Noortdyk;Bruidspaar;1694.0;
111;Kornelis Willemse & Maria Jans;Bruidspaar;1694.0;
112;Abraham van Limburg & Margareta Blaaupot;Bruidspaar;1695.0;
113;Jacob van Beek & Gouda van Gent;Bruidspaar;1695.0;
114;Sieuwert Centen & Johanna Bruyn;Bruidspaar;1695.0;
115;Stefanus van Leuvenig & Anna Kuiken;Bruidspaar;1695.0;
116;François van Halmael & Barbara van Wylik;Bruidspaar;1695.0;
117;Joan Jakobsz Teyler & Maria van Gelein;Bruidspaar;1695.0;
118;Salomon van Wylik & Christina Roeters;Bruidspaar;1695.0;
119;Jakob Paradys & Maria van Os;Bruidspaar;1695.0;
120;Jacob Alewynsz Ghysen & Juliana van der Schelling;Bruidspaar;1695.0;
121;Maarten Post & Anna de Vyver;Bruidspaar;1695.0;
122;Fransois van Halmaal & Barbara van Wylik;Bruidspaar;1695.0;
123;Abraham van der Meersch & Katarina Outerloo;Bruidspaar;1696.0;
124;Pieter Edens & Catharina Inses;Bruidspaar;1696.0;
125;Hendrik Boel & Cornelia de Geus;Bruidspaar;1696.0;
126;Tobias Boel;Auteur;;
127;J.S.;Auteur;;
128;Willem Fremery & Margarieta Kroon;Bruidspaar;1696.0;
129;Izaak van Hoven & Anna van der Vecht;Bruidspaar;1696.0;
130;Justus de Haan & Johanna Linnich van Koppenol;Bruidspaar;1696.0;
131;Niklaas Beuns & Margareta Beuns;Bruidspaar;1696.0;
132;Joannes Witte & Hester de Leeuw;Bruidspaar;1696.0;
133;Pieter Rutgers & Ingenia van Lennep;Bruidspaar;1696.0;
134;Joannes de Wees;Drukker;;Amsterdam
135;Hendrik Teyler & Sara Katoor;Bruidspaar;1696.0;
136;Hendrik van Dale & Hester Rozyn;Bruidspaar;1696.0;
137;Galenus Abrahamsz & Sara Bierens Abrahams;Bruidspaar;1696.0;
138;Adriaan van Buylaart & Catharina van den Tempel;Bruidspaar;1697.0;
139;Joannes Danser & Catharina van der Meersch;Bruidspaar;1697.0;
140;Johannes van der Mersch & Petronella van Oosterwyk;Bruidspaar;1697.0;
141;David Izaksz Rutgers & Debora Bruin;Bruidspaar;1697.0;
142;Jakob de Vries & Elizabet van Westerhoven;Bruidspaar;1697.0;
143;Joannes van de Wall & Elsje van Aalstée;Bruidspaar;1697.0;
144;Abraham Graafman & Belytje van Mazeyk;Bruidspaar;1697.0;
145;Jan Bruin & Hester Verhammen;Bruidspaar;1698.0;
146;Arend Copyn & Anna Grave;Bruidspaar;1698.0;
147;Johannes Smets;Drukker;;Amsterdam
148;Arnout Kops & Johanna Nobeling;Bruidspaar;1698.0;
149;Adam van Rixtel & Johanna de Haan;Bruidspaar;1698.0;
150;Matthys de Haan & Suzanna Teyler;Bruidspaar;1698.0;
151;Abraham van Halmael & Wynanda van Aken;Bruidspaar;1698.0;
152;Cornelis van der Seys & Sara Arends Schryver;Bruidspaar;1698.0;
153;Jan van der Sys & Suzanna van der Hulst;Bruidspaar;1698.0;
154;Albertus Seba & Anna Lopes;Bruidspaar;1698.0;
155;Izaak Zuurlander & Sara van Vianen;Bruidspaar;1698.0;
