0;Datum;Jaar;Bruidegom;Bruid;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
49;1742-03-19;1742;Cornelis Sinkelaar;Alida Cornelia van Oosterhout;Nicolaas Byl;Amsterdam;Johannes van Oosterhout ;Reinier van Oosterhout ;Dirk Berk ;Nicolaas Byl ;Joannes Wichers ;;;;;;;;;;;;;;;;;
51;1759-07-30;1759;Carel Wouter Visscher;Anna Antonia van Muyden;Johan Besseling;Leiden;Hermannus Gerardus Oosterdyk ;J.P. van Stuyvesant ;Carel Wouter Visscher ;;;;;;;;;;;;;;;;;;;
52;1692-11-09;1692;Gillis Teyler;Maria van der Mersch;Boeteman;Eelde;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
53;1692-11-09;1692;Gillis Teyler;Maria van der Mersch;Boeteman;Groningen;Elias Teyler de Vlieger;;;;;;;;;;;;;;;;;;;;;
54;1693-01-18;1693;Herman Schuurman;Petronella Rooleeuw;Arentsz;Groningen;Eduard Feitama ;Isaac Feitama ;;;;;;;;;;;;;;;;;;;;
56;1696-08-12;1696;Dirk ten Kate;Johanna Kist;Boeteman;Haarlem;Pieter Bernagie ;Johannes (Jr) Bredenburg ;Eduard Feitama ;Isaac Feitama ;Adriaan Spinniker ;;;;;;;;;;;;;;;;;
57;1696-08-12;1696;Dirk ten Kate;Johanna Kist;Boeteman;Middelburg;N. ten Kate ;;;;;;;;;;;;;;;;;;;;;
58;1696-11-18;1696;Abraham van der Meersch;Katarina Outerloo;Boeteman;Middelburg;Catharina van der Meersch ;Paschyna van Mazeyk ;Martinus Crellius ;P. van der Meersch ;;;;;;;;;;;;;;;;;;
59;1691-07-22;1691;Herman ten Kate;Jozyna Bronkhorst;Boeteman;Middelburg;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
60;1696-11-18;1696;Abraham van der Meersch;Katarina Outerloo;Boeteman;Middelburg;Anthony Jansen ;Gerrit Fortgens ;;;;;;;;;;;;;;;;;;;;
61;1698-08-17;1698;Dirk Bosch;Geertruid Rooleeuw;Arentsz;Middelburg;;;;;;;;;;;;;;;;;;;;;;
62;1698-10-05;1698;Jan Bruin;Hester Verhammen;Boeteman;Middelburg;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
63;1691-07-22;1691;Herman ten Kate;Jozyna Bronkhorst;Boeteman;Amsterdam;N.D. Beths ;Johannes (Jr) Bredenburg ;;;;;;;;;;;;;;;;;;;;
