0;Datum;Jaar;Bruidegom;Bruid;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
509;1674-01-09;1674;Philippus van Limborgh;Cornelia van der Kerck;Elisabet van Sorgen;Amsterdam;Wilhelmus Lomannus ;;;;;;;;;;;;;;;;;;;;;
384;1734-06-14;1734;Sicco Tjassens;Wobbina Tjaden;Laurens Groenewolt;Amsterdam;Hermannus Werumeus ;Jacobus van Buizen ;;;;;;;;;;;;;;;;;;;;
378;1731-06-10;1731;Barent Bliem;Aletta Bosch;Van Egmont;Amsterdam;A. Bliem ;;;;;;;;;;;;;;;;;;;;;
468;1701-02-22;1701;Wilhem de Waal;Esther d' Amour;Abraham van Essen;;Abraham van Essen (Jr) ;;;;;;;;;;;;;;;;;;;;;
459;1751-10-01;1751;Kornelis van den Helm Boddaert;Reinbrandina Cornelia Hurgronje;Suenonius Mandelgreen;Amsterdam;Petronella Johanna de Timmerman ;Abraham Haverkamp ;Jan de Timmerman ;Jakobus Andriessen de Waal ;Pieter Michiel de Lichte ;Marinus Smytegelt ;Pieter Boddaert (1694-1760);;;;;;;;;;;;;;;
369;1658-11-20;1658;Johannes Wastiov;Rachel Del Tombe;Sebastiaen van der Piet;;;;;;;;;;;;;;;;;;;;;;;
341;1735-11-28;1735;Eduard Ploos van Amstel;Margareta Goetvall;;Amsterdam;Herkules Bouman ;Cornelis Bruyn ;Abraham Erbervelt ;Joannes Haverkamp ;;;;;;;;;;;;;;;;;;
315;1744-05-17;1744;Joannes Petrus Driessen;Anna Christina Alberthoma;Benedictus Greydanus;Amsterdam;Frederika Alida Tegneus ;Johannes Fockens ;;;;;;;;;;;;;;;;;;;;
520;1730-06-21;1730;Michiel van Kouwenberg;Johanna van Dam;Evert de Melander;Dordrecht;Nikolaes Versteeg ;Adriaan van der Vliet ;;;;;;;;;;;;;;;;;;;;
375;1728-10-21;1728;Jan Six (1668-1750);Anna Elisabeth van den Bempden;;Leiden;;;;;;;;;;;;;;;;;;;;;;
434;1713-08-27;1713;Joannes Trip;Elisabeth Tielens;Margaretha Caecilia Nijs;Den Haag;David van Hoogstraten ;;;;;;;;;;;;;;;;;;;;;
307;1732-01-31;1732;Nicolaas Bavink;Elisabeth de Jong;Johannes Rotterdam;Arnhem;Johannes Rotterdam ;;;;;;;;;;;;;;;;;;;;;
305;1623-01-08;1623;Adam Westerwolt;Anna van der Dussen;Pieter Muller;Amsterdam;Volckerus van Oosterwijck ;;;;;;;;;;;;;;;;;;;;;
354;1644-05-03;1644;Johannes Trekels;Janneke Matheus;Joost Broersz;;;;;;;;;;;;;;;;;;;;;;;
415;1721-03-30;1721;Christiaan van Boneval;Anna Doornekroon;Joannes Oosterwyk;Amsterdam;Johanna Catrina van Boneval ;Willem van Boneval ;Cornelia Overbeek ;Geertruij Sara van Boneval ;Ferdinandus van Boneval ;Joannes Oosterwyk ;Willem van der Hoeven ;Claas Bruin ;;;;;;;;;;;;;;
511;1723-06-13;1723;Jan Knuyse;Geertruyda van Schaick;Isaak van der Putte;Leeuwarden;Lucas Konynenberg ;;;;;;;;;;;;;;;;;;;;;
310;1658-07-23;1658;Koenraad Pestalozzy;Geertruyd van Os;Jacques Boursse;Rotterdam;Otho de Vooght ;Henrick Bruno ;Floris Lakeman ;;;;;;;;;;;;;;;;;;;
389;1752-06-24;1752;Jacob Hagen;Hester Emerentia Kruydenier;;;Jacob Hagen (Jr) ;Jacobus de II Visscher ;;;;;;;;;;;;;;;;;;;;
397;1709-12-16;1709;Jacobus Du Pire;Elisabeth Gronen;;Amsterdam;François van Bochoven ;Frederik Wilhelm Westhovius ;Joannes van Braam ;;;;;;;;;;;;;;;;;;;
488;1759-05-08;1759;Nicolaas (Jr) Lublink;Angneta Fogh;Gerardus (Jr) Lequien;Amsterdam;Daniel Roeper Lublink ;Laurens Bosch ;H. Fogh ;Jan Hendrik Fogh ;J.F. Kehler ;;;;;;; ;;;;;;;;;;
403;1691-04-03;1691;Joan van Norden;Arlandyne van Hoorn;Lescailje;Amsterdam;Katharina Lescailje ;Hermannus Angelkot ;;;;;;;;;;;;;;;;;;;;
524;1723-02-22;1723;Adriaan Snouck;Adriana Alida Pompe van Meerdervoort;Joannes van Braam;;Cornelis Vrolikhert ;Joannes van Braam ;;;;;;;;;;;;;;;;;;;;
431;1746-02-16;1746;Jacob Jacobsz Ploos van Amstel;Sara Rothé;;Amsterdam;J. Lohoff ;Isaac Lohoff ;Abraham Erbervelt ;Cornelis Jacobsz Ploos van Amstel ;Pieter Ploos van Amstel ;Margaretha Jacoba Lohoff ;Jacobus Lohoff ;C.H. de Witt ;Hermanus van den Burg ;Jan Volkmar ;Harmanus Volkmar ;Lucas Pater ;Anna Elizabeth Lohoff ;Boudewijn Jacob Lohoff ;;;;;;;;
349;1749-06-17;1749;Jan Nicolaas Floris graaf van Nassau La Lecq;Maria Anna Testas;;Leiden;Petrus Theodorus van Hamel ;;;;;;;;;;;;;;;;;;;;;
350;1728-08-09;1728;Petrus Nahuys;Johanna Louiza Couck;Joannes Oosterwyk;;Albertus Lyklama à Nijeholt ;Joannes Oosterwyk ;Claas Bruin ;;;;;;;;;;;;;;;;;;;
521;1692-05-25;1692;Joan de Witt (1662-1701);Wilhelmina de Witt;;;Caspar Brandt ;;;;;;;;;;;;;;;;;;;;;
522;1692-05-25;1692;Joan de Witt (1662-1701);Wilhelmina de Witt;;;Caspar Brandt ;;;;;;;;;;;;;;;;;;;;;
523;1692-05-25;1692;Joan de Witt (1662-1701);Wilhelmina de Witt;;Amsterdam;Caspar Brandt ;;;;;;;;;;;;;;;;;;;;;
396;1656-05-30;1656;Nicolaas de Vos;Catharina Heermans;Hendrik Stam;Amsterdam;Hendrik Stam ;;;;;;;;;;;;;;;;;;;;;
452;1753-09-04;1753;Dirk van Schorrenbergh;Johanna Maria de Roy;Theodorus Crajenschot;Dordrecht;Gerard de Roy ;Henri Jean Roullaud ;;;;;;;;;;;;;;;;;;;;
306;1728-08-01;1728;Nanning van Foreest;Jacoba de Vries;Reinier Beukelman;Zutphen;Curtius Nordingh Doitsma ;Johannes Erhard ;Roelof Westerop ;Ludovicus Ens ;Jacobus Doitsma ;Jan Bent ;Claas 't Lam ;C.R.;;;; ;;;;;;;;;;
421;1725-09-27;1725;Jan van Cralingen;Elizabeth Claver;Jan van Cralingen;Amsterdam;Catharina Oillaarts ;Jan van Leeuwen ;Adriaan Jacobsz van Ommering ;Abraham Titsingh ;Balthazar Nolthenius ;Jan Melchiorsz van den Bosch ;Enoch Krook ;Hendrik van der Sande ;Jacobus Tiboul ;;;;;;;;;;;;;
457;1734-07-11;1734;Cornelis Theodorus van Wykersloot;Theodora Agnes van Grasveldt;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
495;1618-02-20;1618;Cornelis Dieryckz;Magdalena Ruts;Paulus Aertsz van Ravesteyn;Rotterdam;Theodoor Rodenburg ;;;;;;;;;;;;;;;;;;;;;
498;1728-10-24;1728;Franciscus van Bredehoff;Amaranta Velius;Adrianus Brouwer;Haarlem;Curtius Nordingh Doitsma ;Cornelius de Feyfer ;J.R. van Hoolwerff ;Johannes Erhard ;Fredrick Slob ;Claas 't Lam ;Ludovicus Ens ;J. van Bredehoff ;;;;;;;;;;;;;;
480;1640-10-21;1640;Dirck Kasteleyn;Elisabeth de Vries;Denijs Verschuere;Den Haag;;;;;;;;;;;;;;;;;;;;;;
466;1708-06-10;1708;Adriaan Snouck;Cornelia Maria Zuydland;Godewaard de I Casembroot;Amsterdam;Godewaard de Casembroot ;Herkules Bouman ;;;;;;;;;;;;;;;;;;;;
360;1713-04-09;1713;Joan van Schuilenburg;Cornelia Jacoba Kemp van Moermont;Engelbrecht I Boucquet;Amsterdam;Jakob Zeeus ;;;;;;;;;;;;;;;;;;;;;
361;1724-03-28;1724;Abraham Barnaart;Engeltje van Hoven;Joannes Oosterwyk;Amsterdam;Joannes Oosterwyk ;Jan Baptista Wellekens ;David van Hoogstraten ;Willem van der Hoeven ;Abraham Bógaert ;Claas Bruin ;Govert van Mater ;Pieter (Jr) Merkman ;Gijsbert Tysens ;Jacobus van der Strengh ;;;;;;;;;;;;
419;1741-06-20;1741;Pieter van der Nolk;Cornelia Houthoff;Anna van der Nolk;Amsterdam;Casparus Henricus van Heimenberg ;;;;;;;;;;;;;;;;;;;;;
508;1678-05-00;1678;Iman Mogge;Constance Thibaut;Thomas Teyler;Amsterdam;Joannes Antonides van der Goes ;;;;;;;;;;;;;;;;;;;;;
304;1751-10-04;1751;Gerrit Albertus Podt;Alida Anna Ens;Dirk Rampen;Amsterdam;Petrus Ens ;Eva Ens ;;;;;;;;;;;;;;;;;;;;
455;1748-09-24;1748;Pieter Allardsz de La Court;Geertruda Jacoba de Bye;Pieter van der I Eyk;Amsterdam;Theodoor van Snakenburg ;Jan de Kruyff ;;;;;;;;;;;;;;;;;;;;
348;1689-11-20;1689;Pieter Messchaert;Maria de Haes;;Velp;Johannes Bredenburg (Jr) ;Frans de Haes ;;;;;;;;;;;;;;;;;;;;
487;1732-05-05;1732;Cornelis Johannes Rycken;Catharina Lach;Cornelis van Zanten;Enkhuizen;Jacobus Nicolaes Turcq ;Jacobus Adrianus Folkers ;Cornelia Adriana Folkers ;;;;;;;;;;;;;;;;;;;
456;1753-02-13;1753;Jan George ten Sande;Elizabeth Jaspers;Theodorus Crajenschot;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
309;1709-05-30;1709;Joan Beeldsnyder Steenbergen;Geertruid Sophia op ten Noordt;;;Pieter Plemper ;;;;;;;;;;;;;;;;;;;;;
343;1713-02-06;1713;Gualterus Hennequin;Ewouda Verschuur;;Rotterdam;Gysbert Bremer ;;;;;;;;;;;;;;;;;;;;;
355;1724-01-16;1724;Jacob Schyn;Gesina Verbeek;Barent (wed) Visscher;Amsterdam;Eduard van Nikkelen ;Jan Geldorp ;Jan Baptista Wellekens ;Marten Schagen ;Pieter van de Walle ;Evert Visscher ;; ;;;;;;;;;;;;;;
416;1736-05-22;1736;Johannes Bondt;Cornelia Johanna de Wys;;Amsterdam;Pietronella Maria de Wys ;;;;;;;;;;;;;;;;;;;;;
335;1727-01-29;1727;Bastiaan Oudemans;Helena Houthof;Herbert Oudemans;Den Haag;;;;;;;;;;;;;;;;;;;;;;
451;1715-12-17;1715;Abraham van Wylik;Ursula Roeters;Hendrik van de Gaete;Amsterdam;Ludolph Smids ;Jan Baptista Wellekens ;L. Kramp ;H. van Streek ;Willem Spiering ;Hendrik van de Gaete ;;;;;;;;;;;;;;;;
409;1728-11-28;1728;Willem Henrik van Cattenburch;Johanna Del Tombe;;Gorinchem;Arnoldus Henricus Westerhovius ;Pieter van der Schelling ;Theodoor van Snakenburg ;;;;;;;;;;;;;;;;;;;
418;1759-05-15;1759;Engelbert François van Berckel;Geertruida Roscam;;Amsterdam;Willem J.J.B. Kroon ;Joan Stouw ;Jan Adriaan van Wachendorff ;Adriaan Kluit ;;;;;;;;;;;;;;;;;;
426;1727-07-07;1727;George Boudens;Johanna Boddens;;Amsterdam;Vincent van Eyck ;Arnoldus Henricus Westerhovius ;Lucas Pater ;;;;;;;;;;;;;;;;;;;
377;1755-10-10;1755;Antony Menssendyk;Adriana Knappert;Maria van Koot;;Willem van der Jagt ;;;;;;;;;;;;;;;;;;;;;
339;1718-12-11;1718;Reinier de Haan;Alida Stadnitski;Adriaan Slaats;Rotterdam;Jan de Haan ;Dirk van Beek ;;;;;;;;;;;;;;;;;;;;
393;1724-09-10;1724;Pieter de Lange;Geertruyd van den Ende;;Amsterdam;Harmanus Meyer ;J. de Lange ;Adriaan de Kramer ;Jan Mol ; ;;;;;;;;;;;;;;;;;
381;1742-01-16;1742;Adriaan Du Val;Helena Arendina van der Kars;;Amsterdam;Antonius Faber ;Kornelis Trioen ;Pieter Langendyk ;Hendrik Schim ;Thomas Mess ;Servatius van de Coppello ;Anna Agneta Trioen ;;;;; ;;;;;;;;;;
432;1747-04-18;1747;Nicolaas Warin;Johanna Catharina van de Poll;;Amsterdam;Pieter Straat ;;;;;;;;;;;;;;;;;;;;;
425;1731-11-22;1731;Bastiaan Oudemans;Geertruit Geselschap;Helena Houthof;;Jakob Kortebrant ;;;;;;;;;;;;;;;;;;;;;
469;1618-11-06;1618;Cornelis Kanter;Elisabet Lamberts;Paulus Aertsz van Ravesteyn;Haarlem;Theodoor Rodenburg ;;;;;;;;;;;;;;;;;;;;;
336;1750-05-26;1750;Christiaen Paulus Meyer;Lidia Elisabeth Gildemeester;Hendrik II Bruyn;;N.K. E.A.;Hugo Frederik Gildemeester ;Jacob Lutkeman ;Hendrik Hoffham ;Richard Muilman ;Willem Bardewits ;;;;;;;;;;;;;;;;
351;1693-06-23;1693;Françoys Pekstok;Geertruyd van Os;Jacobus Robyn;Rotterdam;H. Croese ;;;;;;;;;;;;;;;;;;;;;
484;1745-06-29;1745;Roeloff Woudman;Anna Catharina Heggers;Nicolaas Byl;Amsterdam;Mattheus Christiaansz Heggers ;M. van Zuylen ;Mattheus Swaving ;Christianus Swaving ;Cornelis Domburg ;Sara Maria van der Wilp ;Joannes Maiden ;F.J. Veltkamp ;François Lentfrinck ;Lucas Pater ;;;;;;;;;;;;
379;1650-11-01;1650;Jacob Heyblocq;Maria de Lange;Lescailje;Amsterdam;Job van Meekeren ;;;;;;;;;;;;;;;;;;;;;
390;1750-06-02;1750;Arnoldus Ameshoff;Christina Lamberta Hoogenbergh;Pieter Meyer;;Pieter Meyer ;Arnoldus Kumsius ;Isaak Pietersz Hoogenbergh ;Hermanus Ameshoff ;Petrus Ameshoff ;Andries Stanhoffius ;Pieter Hoogenbergh ;;;;; ;;;;;;;;;;
353;1685-07-10;1685;Antonius Ernst;Aemilia de Wall;Franco Sas;;Johannes Nicolaas Sellius ;;;;;;;;;;;;;;;;;;;;;
442;1713-05-17;1713;Evert Haverkamp;Maria Ainsworth;Grietje Neltkamp;Amsterdam;Sigebertus Haverkamp ;Joannes Haverkamp ;;;;;;;;;;;;;;;;;;;;
368;1725-02-20;1725;Philip Kolpaar;Adriana de Beunje;Jan van Damme;;;;;;;;;;;;;;;;;;;;;;;
371;1633-02-13;1633;Antonius Matthaeus;Anna Pontanus;Nicolaes van Wieringen;Rotterdam;Hendrik van Diest ;Caspar Barlaeus ;Johan van Wynbergen ;Jacobus Revius ;Marcus Zuerius Boxhorn ;Johannes Isacus Pontanus ;;;;; ; ;;;;;;;;;;
372;1752-07-24;1752;Adriaan Philip Hendrik van Slijpe;Sara Collard;Johann Sebastian Straube;Dordrecht;Heinrich Lamberts ;;;;;;;;;;;;;;;;;;;;;
433;1759-10-30;1759;Willem Abrahamsz de Neve;Geertrui de Bruyn;Abraham Blussé;Amsterdam;Aletta Suzanna de Bruyn ;Willem de Bruyn ;Justus de Bruyn ;Ahazueer van den Berg ;Adriaan Kluit ;Abraham Blussé ;Roelof Wouters ;L.B. de Graaf ;;;;;;;;;;;;;;
329;1738-05-13;1738;Anthony Gerhard Dryfhout;Magdalena van Eys;Willem Boman;Amsterdam;Jan Nicolaas van Eys ;H. van Eys ;C.C. Maillart ;David Jacob van Eys ;;;;;;;;;;;;;;;;;;
428;1661-02-08;1661;Joan Boekart;Anna van Oldenhoven;Gerrit Harmansz;Rotterdam;B. Le Bruyn ;;;;;;;;;;;;;;;;;;;;;
518;1712-12-14;1712;Anthony Rooleeuw;Anna de Wilde;;Amsterdam;David van Hoogstraten ;Pieter van den Berge ;;;;;;;;;;;;;;;;;;;;
404;1608-00-00;1608;Johannes Melander;Maria van Hohenlohe;Henrick Lodewijcxsz van Haestens;;Hugo de Groot ;Daniel Heinsius ;;;;;;;;;;;;;;;;;;;;
414;1742-11-20;1742;Egbertus Geniets;Agatha Maria Muhl;;Amsterdam;Agatha Maria Sena ;;;;;;;;;;;;;;;;;;;;;
481;1711-12-20;1711;Gilbert de Flines;Susanna Elisabeth Du Pré;Hendrik van de Gaete;Den Haag;Jan Frederik Teeckman ;Hendrik van de Gaete ;Ludolph Smids ;Daniel Willink ;Hermannus Angelkot (1688-1727);F.V.W.;P.A.;I.E.F.;;;;;;;;;;;;;;
347;1693-07-01;1693;Matthew Chity;Elisabeth de Dieu;Johannes van de Kellenaar;Den Haag;Adriaan Pars ;;;;;;;;;;;;;;;;;;;;;
504;1708-10-14;1708;Jacob Verbeek;Maria van Raat;Goeree;;Adriaan J.B. Spinniker ;Jan Geldorp ;;;;;;;;;;;;;;;;;;;;
472;1752-07-11;1752;Pieter Jansz Nessing;Wynanda van Goor;Andries Stanhoffius;Leeuwarden;Cornelis Hendrik Du Rieu ;Jan Spyker ;J. van der Wouw ;Eduard Croese ;Paulus Hendricus Eksteen ;;;;;;;;;;;;;;;;;
491;1664-01-21;1664;Gerhard Warmeloo;Johanna Tichlers;Willem Wier;Buren;;;;;;;;;;;;;;;;;;;;;;
492;1747-01-16;1747;Matthias Wilhelm Adam de Rhoer;Anna Cornelia van Alphen;;Amsterdam;Jacobus de Rhoer ;Jan Groeneveldt ;K. Casius ;Kornelis Elzevier ;;;;;;;;;;;;;;;;;;
303;1757-01-02;1757;Pieter Claris;Maria de Planke;;Nieuwerkerk a/d IJssel;Joachim Oudaen ;;;;;;;;;;;;;;;;;;;;;
513;1746-06-14;1746;Jan Moilives van der Noot;Elisabeth Denys;Hendrik Smets;;Magdalena Barbara Wellekens ;Gerard Bullens Voogt ;Willem Blaauw ;Eduard van Nikkelen ;D.D.; ;;;;;;;;;;;;;;;;
308;1751-05-11;1751;Jan Cordelois;Anna Catharina van Velthuysen;;Arnhem;Joannes Albertus Jacobi ;Frans de Haes ;Regnerus van Overschuur ;Jan Jansz Lagendaal ;;;;;;;; ;;;;;;;;;;
320;1727-10-06;1727;Adriaan Johan Elzevier;Johanna Magtelina de Marez;Pieter van den II Berge;Amsterdam;Pieter van den Berge ;Pieter Poeraet ;Pieter Straat ;Jacobus van der Strengh ;;;;;;;;;;;;;;;;;;
470;1629-02-06;1629;Guiliam de Vicq;Maria van de Voorde;Willem Jansz Cloppenburgh;Haastrecht;;;;;;;;;;;;;;;;;;;;;;
405;1724-04-09;1724;Rudolph Marcus;Elizabeth van der Nolk;Hendrik Smets;Amsterdam;Hendrik J.J.M. Smets ;Casparus Henricus van Heimenberg ;F. Zoeten ;Philips van der Nolk ;Pieter van der Nolk ;;;;;;; ;;;;;;;;;;
392;1739-12-08;1739;Thymon van Schoonhoven;Maria Johanna Witheyn;;Amsterdam;Thymon van Schoonhoven ;Joannes Albertus Jacobi ;Nikolaes Versteeg ;Adriaan van der Vliet ;Michiel van Kouwenberg ;Joachim Oudaen (1716-1787) ;; ;;;;;;;;;;;;;;
435;1744-02-06;1744;Johan Robyn;Petronelle Margareta Bernards;;Haarlem;Joannes Albertus Jacobi ;Arnold Hoogvliet ;Dirk Smits ;Joannes Badon ;;;;;;;;;;;;;;;;;;
493;1740-01-24;1740;Gillis van den Bempden;Katharine Grey;Barent Paats;Amsterdam;Abraham Titsingh ;;;;;;;;;;;;;;;;;;;;;
462;1731-06-21;1731;Philip Anton Erbervelt;Susanna Maria Alphusius;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
311;1759-08-05;1759;Diderik Johan van Hogendorp;Sara Jacoba Clifford;Cornelia Petronella Slicher;;Philip Zweerts ;;;;;;;;;;;;;;;;;;;;;
463;1739-09-06;1739;Gerardus van Maanen;Maria de Klopper;;Amsterdam;Jan van Hoven ;;;;;;;;;;;;;;;;;;;;;
352;1667-01-25;1667;Cornelis Tromp;Margareta van Raephorst;Christoffel Cunradus;;;;;;;;;;;;;;;;;;;;;;;
340;1707-05-22;1707;Cornelis Corn Calff;Grietje Claase Bloem;;Utrecht;Joannes Oosterwyk ;;;;;;;;;;;;;;;;;;;;;
401;1608-07-02;1608;Hugo de Groot;Maria van Reigersbergh;Van Dorp;Rotterdam;Daniel Heinsius ;Hugo de Groot ;;;;;;;;;;;;;;;;;;;;
394;1721-10-12;1721;Christoph Vilters;Anna Maria Cheevs;;Amsterdam;J.A. J.S. Vilters ;;;;;;;;;;;;;;;;;;;;;
514;1731-01-02;1731;François de Leus;Maria Dibbetz;Jan Kouwe;Middelburg;Jan Kouwe ;Nicolaas de Leus ;Benjamin van der Meer ;Willem van Goch ;;;;;;;;;;;;;;;;;;
505;1754-05-14;1754;Jacobus de Vos Kops;Maria Feitama;;Amsterdam;Willem Kops ;Jan Olthoff ;;;;;;;;;;;;;;;;;;;;
342;1747-02-19;1747;Nicolaas Geelvinck (1706-1764);Maria Margareta Corver;Pieter Meyer;Wesel;Mattheus Temminck ;;;;;;;;;;;;;;;;;;;;;
410;1621-11-10;1621;Pieter Rezen;Apollonia Loopers;Hans van der Hellen;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
380;1744-11-03;1744;Michael Johan van Kampen;Agatha Elikink;;Amsterdam;Bernardus Elikink ;Isaac Bronkhorst ;;;;;;;;;;;;;;;;;;;;
383;1760-05-26;1760;Huybert Nicolaas van Schalkwyk a Velden;Maria Breur;Samuel van Schalkwyk a Velden;Amsterdam;A. Breur ;Jacobus van Schalkwyk à Velden ;Willem van Schalkwyk a Velden ;Jacob Rigagneau ;Willem van Kleef ;Pieter Koeye ;;;;;;;;;;;;;;;;
486;1731-02-09;1731;Barent Klinkhamer;Cecilia Looten;Frederik Klinkhamer;Utrecht;Govert Klinkhamer ;Barent (Jr) Klinkhamer ;;;;;;;;;;;;;;;;;;;;
499;1737-09-08;1737;Isaac van der Mijn;Sara Honvlee;;;Daniel Taayspel ;Lodewyk S.N. Marcellus ;Michiel Martyn ;;;;;;;;;;;;;;;;;;;
406;1614-06-03;1614;Gillis van den Bogaert;Cornelia Verspreet;Uldrick Cornelissz Honthorst;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
489;1729-03-29;1729;Jan Joostsz van Eik;Leonora de Vogel;;Amsterdam;Adriaan van Cattenburch ;Pieter van der Schelling ;Isaac Verburg ;Kornelis Willemsz Westerbaen ;J.V.;Jacobus Targier ;Claas Bruin ;Wilhem Suderman ;Arnold Nachtegael Klemens;Pieter Klinkert;Abraham de Haen (1707-1748);Jan Abraham Willink;Abraham Meylincq ;Bernardus de Bosch;;;;;;;;
413;1750-07-14;1750;Paulus Ribaut;Margareta Jacoba Huyge;Caspar Ribaut;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
382;1714-12-30;1714;Hendrik ten Kate;Christina ten Kate;Hendrik van de Gaete;Amsterdam;Daniel Willink ;Claas Bruin ;Martinus Bodisco ;Daniel de Vos ;Hendrik van de Gaete ;;;;;;;;;;;;;;;;;
395;1735-00-00;1735;Willem Geraert van Meel;Constantia van Meel;;Amsterdam;Hubert Gregorius van Vryhoff ;;;;;;;;;;;;;;;;;;;;;
476;1742-12-11;1742;Pieter Avenhorn;Alida Ryser;Abraham I Kallewier;Den Haag;Brandyn Ryser ;Sara Maria van Ravesteyn ;As (Jr) Homoet ;Joannes Lette ;Willem Griffioen ;;;;;;;;;;;;;;;;;
477;1741-08-09;1741;Isaäcus Rynders;Geertruid van Gogh;;Haarlem;Sara Maria van Ravesteyn ;;;;;;;;;;;;;;;;;;;;;
478;1746-03-27;1746;Johannes Steversloot;Lydia van Baelen;;Middelburg;Johannes ter Hofstede ;;;;;;;;;;;;;;;;;;;;;
430;1723-10-12;1723;Willem van Karnebeek;Cornelia van den Bergh;;Amsterdam;Willem van der Hoeven ;Harmanus Meyer ;Jacob van Veen ;David van Hoogstraten ;Jacobus van der Strengh ;Hubert Kornelisz Poot ;Adriaan de Kramer ;Egbert van Karnebeek ;; ;;;;;;;;;;;;
497;1701-01-23;1701;Jan van Halmael;Cornelia de Veer;Lescailje;Haarlem;G. van Halmael ;Hester van Halmael ;J.J. Coppenol Efflant ;Jan de Regt ;Hendrik van Halmael ;Aegidius van Hoven ; ;;; ;;;;;;;;;;;;
427;1745-04-06;1745;Anthony Hartsen;Louisa Hooft;Abraham de Haen (1707-1748);Amsterdam;Johannes van den Bergh ;Govert Klinkhamer ;Gerrit Blaaupot ;Lucas Pater ;Dirk Willink ;Willem Philipsz Kops ;S.A. ;Dirk van Beek ;Y.B.A.;Pieter Slooff ;Dirk Tickel ;;;;;;;;;;;
398;1724-06-04;1724;Gysbert van Kinschot;Maria Françoise Issac;;Amsterdam;J.C. van Kinschot ;Pieter de Bye ;Hendrik van Ouryk ;;;;;;;;;;;;;;;;;;;
447;1733-06-30;1733;Jan Huydecoper van Maersseveen;Sophia Maria Agatha van der Muelen;Pieter I Muntendam;;Kornelis Willemsz Westerbaen ;;;;;;;;;;;;;;;;;;;;;
373;1749-06-08;1749;David ten Hove;Cornelia Adriana Sautyn;Ten Houten;;;;;;;;;;;;;;;;;;;;;;;
344;1757-12-27;1757;Hendrick Nicolaas Sautyn;Susanna Jacoba van Harencarspel;Petrus Schouten;Delft;Johannes Antonius Helvetius ;;;;;;;;;;;;;;;;;;;;;
467;1733-10-18;1733;Jacob Speciaal;Catharina van Sevenhoven;;Middelburg;Gerardus van der Hof ;Hendrik Speciaal ;D. Tolk ;;;;;;;;;;;;;;;;;;;
494;1733-03-06;1733;Gillis de Bergh;Maria Eeverars;Cornelis van Aalst;Amsterdam;Lowys van Essen ;;;;;;;;;;;;;;;;;;;;;
332;1753-05-23;1753;François Constantijn Druyvestein;Cornelia Anna van Royen;Albertina Elisabeth Du Tour;;Bartholomaeus Sieben ;;;;;;;;;;;;;;;;;;;;;
407;1746-03-30;1746;Gerard Schepers;Jakoba Prins;;Utrecht;Kornelis Boon van Engelant ;François Chamois ;Nikolaes Versteeg ;Ralph Schomberg ; ;;;;;;;;;;;;;;;;;
365;1744-10-31;1744;Everhard François Schimmelpenning;Sara Du Try;;;Carel Johan Houttuyn ;;Joannes Braam van Yver ;;;;;;;;;;;;;;;;;;;
417;1756-03-21;1756;Everwyn Drabbe;Joanna Cornelia Vriemoet;Jacob Brouwer;Amsterdam;Henricus Joannes Arntzenius ;Johannes Habbema ;Jacobus Terpstra ;Adrianus van Well ;Hobbo Lemke ;G.K.;A.S.D.S.S.A.;A.4.M.3;S.C. Vitringa ;;;;;;;;;;;;;
334;1756-02-24;1756;Lieve Geelvinck (1730-1757);Catharina Elisabeth Hasselaer;;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
362;1715-01-20;1715;Wouter van der Breuck;Elizabeth Hofkens;Theodorus van den Eynden;Amsterdam;Henriette Elizabeth de With ;Katharina Johanna de With ;Dirk Smout ;; ;;;;;;;;;;;;;;;;;
370;1755-06-18;1755;Anthoni Pieter Lambrechtsen;Constantia Susanna van Boesschot;;Amsterdam;Jan Guepin ;Conradus Busken ;;;;;;;;;;;;;;;;;;;;
496;1619-07-29;1619;Lucas van Valckenburgh;Susanna Coeymans;Paulus Aertsz van Ravesteyn;Amsterdam;Theodoor Rodenburg ;;;;;;;;;;;;;;;;;;;;;
500;1619-08-04;1619;Jan Jacobsz Kan;Elizabeth Pieters Krabbemoers;Paulus Aertsz van Ravesteyn;Leiden;Theodoor Rodenburg ;;;;;;;;;;;;;;;;;;;;;
402;1752-03-19;1752;Pieter Schagen;Geertruid Maria Mantjes;;Amsterdam;Marten Schagen ;Jan Bosch ;Joanna Schagen ;Maria van Irhoven ;Adam Meyer ;Jacob Hulk ;C.L. Smit ;;;;; ;;;;;;;;;;
